ABOYNE (IRRIGATION FARM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO542982,Long,-2.757024,Lat,57.072537,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5633/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.89,3.02,3.66,1.15,4.92,3.75,4.03,1.69,4.36,1.45,4.54,4.46,1.14,1.67,3.42,1.69,1.17,1.5,,,,,,
February,,,,,,,2.85,0.69,2.92,1.41,3.09,1.92,1.18,1.57,1.15,1.56,2.68,1.37,0.96,2.55,4.51,0.95,0.76,3.61,,,,,,
March,,,,,,,4.1,0.31,2.54,2.14,2.11,0.85,0.64,0.91,0.46,2.3,2.95,1.18,1.41,2.09,2.86,2.56,0.21,,,,,,,
April,,,,,,,1.69,0.32,0.97,1.42,2.5,1.74,1.33,1.59,1.45,0.32,2.79,1.22,1.38,1.91,2.71,1.05,3.58,,,,,,,
May,,,,,,,1.71,2.91,1.13,1.25,2.54,2.79,4.09,2.64,4.31,2.34,4.04,3.31,1.49,1.31,1.16,2.25,1.08,,,,,,,
June,,,,,,,0.89,2.87,1.5,0.7,0.87,1.07,1.82,2.24,2.49,2.59,1.16,4.33,1.42,0.87,1.1,2.73,3.27,,,,,,,
July,,,,,,,4.36,3.6,4.25,7.55,2.72,2.37,1.18,2.68,2.78,4.36,2.08,2.05,3.38,3.55,4.4,1.56,4.6,,,,,,,
August,,,,,,,2.5,1.29,1.7,1.19,3.46,2.43,3.17,0.88,4.35,3.02,0.09,6.63,3.19,2.56,3.13,3.48,1.34,,,,,,,
September,,,,,,,0.85,3.6,2.25,1.33,0.79,3.03,2.62,4,2.78,4.29,2.13,2.05,2.03,5.44,1.17,1.32,2.55,,,,,,,
October,,,,,,,3.42,3.52,5.58,4.17,4.68,4.11,2.68,3.98,5.17,0.25,2.34,1.91,2.33,0.85,1.21,3.82,1.56,,,,,,,
November,,,,,,,0.81,3.1,3.93,5.38,7.3,0.63,2.56,3.98,1.36,6.56,2.67,0.35,3.16,3.51,7.92,3.07,1.88,,,,,,,
December,,,,,,,3.93,4.39,1.49,2.77,0.81,2.51,1.15,3.24,7.18,3.48,2.13,4.36,2.04,2.11,2.04,3.06,2.59,,,,,,,
Total,,,,,,,36,29.62,31.92,30.46,35.79,27.2,26.45,29.4,37.84,32.52,29.6,33.22,23.93,28.42,35.63,27.54,24.59,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5633/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
