"ABOYNE (IRRIGATION FARM)",,,,,,,,,,,,
Grid ref,NO542982,Long,-2.757024,Lat,57.072537,,,,,,,
Station no,RR4041,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,1.69,1.17,1.50,,,,,,,,
February,4.51,0.95,0.76,3.61,,,,,,,,
March,2.86,2.56,0.21,,,,,,,,,
April,2.71,1.05,3.58,,,,,,,,,
May,1.16,2.25,1.08,,,,,,,,,
June,1.10,2.73,3.27,,,,,,,,,
July,4.40,1.56,4.60,,,,,,,,,
August,3.13,3.48,1.34,,,,,,,,,
September,1.17,1.32,2.55,,,,,,,,,
October,1.21,3.82,1.56,,,,,,,,,
November,7.92,3.07,1.88,,,,,,,,,
December,2.04,3.06,2.59,,,,,,,,,
Total,35.63,27.54,24.59,,,,,,,,,
Calc annual,35.63,27.54,24.59,5.11,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
