ABOYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 52933 98724,Long,-2.778012,Lat,57.077118,Elevation,412,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.13,2.92,3.24,2.2,1.84,5.97,1.79,1.7,2.54,4.3,2.53,4.13,1.48,2.33,3,2.99,2.37,1.32,1.36,4.71,9,3.18,,
February,,,,,,,,0.72,2.14,1.78,1.07,0.49,3.03,10.14,2.15,5.8,2.72,1.08,0.85,1.8,1.86,1.3,0.22,3.78,0.61,1.82,4.17,2.91,0.75,,
March,,,,,,,,2.65,1.4,2.57,3.15,1.96,2.29,1.09,1.28,2.3,0.87,2.16,4.28,0.1,1.28,1.23,2.26,1.95,2.76,1.82,1.77,4.21,0.28,,
April,,,,,,,,1.57,0.73,3.93,2.45,1.58,2.94,2.11,1.83,2.59,3.32,1.54,1.01,1.72,2.28,2.25,2.89,1.55,6.39,4.57,0.95,1.65,0.37,,
May,,,,,,,,2.34,2.07,1.02,2.71,2.08,0.96,4.04,4.9,3.27,2.11,1.87,1.28,1.66,0.66,3.26,3.57,0.7,3.04,1.85,1.65,1.7,,,
June,,,,,,,,2.13,0.82,0.82,0.82,1.01,1.85,0.52,1.49,0.6,3.62,3.01,2.83,1.48,1.57,3.01,0.56,0.87,0.97,3.62,1.27,0.86,,,
July,,,,,,,,1.76,4.87,0.29,3.01,1.48,4.24,1.48,4.56,2.43,1.84,2.46,2.26,3.9,2.86,4.12,3.36,2.74,2.97,0.97,5.68,4.42,,,
August,,,,,,,,3.84,2.24,1.99,3.07,2.47,1.66,4.89,5.12,1.57,1.55,3.19,4.6,2.29,6.28,2.6,1.11,0.89,3.46,2.37,1.53,2.56,,,
September,,,,,,,,1.33,3.77,1.51,2.75,0.84,2.83,2.5,4.35,2.35,3.52,4.55,2.36,0.73,6.49,1.24,2.49,1.63,2.18,3.64,2.23,0.82,,,
October,,,,,,,5.32,2.76,2.35,2.3,5.84,0.98,1.14,3.19,4.4,2.56,5.63,4.35,2.37,2.56,2.89,1.27,7.58,6.88,2.99,3.62,0.93,3.54,,,
November,,,,,,,4.77,2.99,2.57,5.18,2.01,2.66,1.23,3.78,2.63,1.81,4.89,3.82,2.33,2.63,3.63,4.28,0.95,5.43,1.72,4.98,1.93,0.88,,,
December,,,,,,,4.15,1.19,1.66,4.36,3.44,1.14,2.55,3.14,3.69,3.8,0.51,3.73,2.79,7.79,4.88,1.98,2.42,1.84,5.99,2.73,3.27,4.1,,,
Total,,,,,,,,25.41,27.54,28.99,32.52,18.53,30.69,38.67,38.1,31.62,34.88,34.29,31.09,28.14,37.01,29.54,30.4,30.63,34.4,33.35,30.09,36.65,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location Approx based on Town Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G moved 05/1934 back 09/1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
