"ABOYNE (IRRIGATION FARM)",,,,,,,,,,,,
Grid ref,NO542982,Long,-2.757024,Lat,57.072537,,,,,,,
Station no,RR4041,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.36,1.39,4.21,2.55,2.85,2.25,4.36,,
February,,,,3.61,3.02,1.80,2.54,3.94,0.23,3.50,,
March,,,,2.36,2.15,1.71,2.23,4.19,1.15,2.25,,
April,,,,0.92,0.36,1.68,1.26,1.85,1.79,1.52,,
May,,,,3.86,2.26,0.35,2.47,3.20,1.26,0.66,,
June,,,,1.50,0.77,2.45,1.84,2.75,3.56,0.98,,
July,,,,1.88,0.54,4.97,5.93,6.26,1.96,2.73,,
August,,,,2.73,0.28,4.45,4.33,3.91,1.12,5.80,,
September,,,,1.07,1.62,4.14,1.60,1.62,0.61,3.71,,
October,,,,4.82,3.18,2.23,1.00,1.44,3.70,8.59,,
November,,,,6.40,1.80,1.16,1.91,0.56,6.83,4.39,,
December,,,,3.88,4.96,4.70,4.76,5.71,6.39,2.02,,
Total,,,,34.39,22.33,33.85,32.42,38.28,30.85,40.51,,
Calc annual,0.00,0.00,0.00,34.39,22.33,33.85,32.42,38.28,30.85,40.51,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
