"CANTERBURY BURGATE STREET",,,,,,,,,,,,
Grid ref,TR151578,Long,1.082791,Lat,51.278719,,,,,,,
Station no,RR2324,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.08,,,,,,,,,,,
February,5.49,,,,,,,,,,,
March,1.44,,,,,,,,,,,
April,0.92,,,,,,,,,,,
May,0.96,,,,,,,,,,,
June,2.19,,,,,,,,,,,
July,0.97,,,,,,,,,,,
August,2.20,,,,,,,,,,,
September,0.82,,,,,,,,,,,
October,2.11,,,,,,,,,,,
November,2.54,,,,,,,,,,,
December,2.67,,,,,,,,,,,
Total,25.39,,,,,,,,,,,
Calc annual,25.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
