WATFORD-PARK-ROAD (STRATFORD PARK ROAD from 1932 - same NGR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ105975,Long,-0.40368003,Lat,51.665423,Elevation,257,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,1.17,3.85,3.12,0.6,3.6,1.57,1.67,2.83,4.41,2.46,2.33,3.07,1.47,2.64,2.16,3.46,1.82,4.08,1.32,2.84,1.22,,2.04,1.65,0.83,4.15,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.53,1.84,0.75,3.04,4.45,3.78,0.83,1.05,3,0.53,0.27,2.28,3.66,0.52,3.22,2.21,3.67,1.99,0.69,0.72,1.87,,2.01,0.31,2.3,1.99,4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.73,3.46,2.42,4.59,1.06,4.41,1.6,0.69,3.76,1.51,1.5,1.71,2.65,0.8,1.05,0.21,2.52,1.84,0,1.18,0.18,,2.81,2.15,0.47,1,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.65,0.06,2.85,0.7,1.06,1.24,2.03,4.28,3.14,3.41,1.05,3.14,1.5,3.2,1.64,2.93,1.64,0.98,1.3,2.05,3.25,2.3,0.92,2,3.36,1.28,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,4.06,1.42,1.57,1.74,2.16,1.9,1.61,2.08,0.42,0.76,1.22,0.84,2.03,3.43,2.33,2.31,1.33,1.87,1.95,2.53,2.74,4.46,1.57,0.7,1.7,0.53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,2.04,2.62,0.36,1.71,1.7,2.16,2.91,0.94,1.41,2.12,0.22,1.24,0.33,2.38,0.02,2.99,3.2,2.69,1.35,1.06,1.3,0.98,1.23,1.28,3.62,3.5,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.55,1.49,1.51,2.14,4.97,1.46,3.52,3.66,1.83,4.74,0.23,3.62,3,3.56,3.94,2.48,2.28,2.22,2.26,2.64,2.92,3.16,1.38,0.97,0.66,4.93,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.52,5.08,0.86,1.14,1.98,3.82,4.98,1.07,2.82,1.54,1.43,3.24,1.88,2.06,3.34,1.28,3.74,2.23,0.9,3.61,4,2.25,0.56,2.24,1.84,0.38,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.28,2.66,1.03,1.16,2.25,1.54,1.58,5.24,1.88,1.71,2.99,2,1.69,3.04,3.08,1.77,5.64,1.12,0.56,3.81,2.27,2.23,1.98,1.72,4.16,2.92,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,3.16,2.54,3.17,1.95,2.54,2.92,4.78,1.55,0.7,1.33,0.79,0.97,5.12,3.48,2.68,2.53,2.79,3.77,3.73,1.16,,4.59,1.46,1.57,2.61,1.81,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
