RAWDON-BARNINGHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,SE205397,Long,-1.6898477,Lat,53.853131,Elevation,525,ft.,,,,,,,,,,,,
Station no,RR6051,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.46,0.91,1.22,1.48,3.36,0.74,5.69,2.53,2.02,,,,,
February,,,,,,,2.05,1.05,1.66,0.92,2.42,2.54,2.22,2.63,2.03,,,,,
March,,,,,,,1.49,2.2,2.94,3.26,0.48,1.06,3.75,3.6,2.81,,,,,
April,,,,,,,0.28,1.72,2.29,2.93,2.47,0.87,0.38,2.12,1.1,,,,,
May,,,,,,,2.01,3.2,1.06,1.81,1.53,1.5,3.21,3.51,0.95,,,,,
June,,,,,,,1.68,3.75,0.34,2.23,1.75,3.44,5.15,2.25,3.15,,,,,
July,,,,,,,1.2,2.02,3.17,3.43,2.99,0.42,3.89,0.84,3.65,,,,,
August,,,,,,4.01,2.06,1.84,1.79,2.05,3.56,2,6.45,1.05,1.84,,,,,
September,,,,,,1.83,0.45,0.87,2.93,1,0.09,3.62,0.7,2.01,1.09,,,,,
October,,,,,,1.66,4.5,5.68,1.73,2.54,3.4,2.54,3.29,2.51,2.59,,,,,
November,,,,,,4.13,3.05,3,1.59,0.47,4.06,2.74,1.9,2.26,4.16,,,,,
December,,,,,,0.33,2.12,3.07,1.9,4.83,3.11,4.59,2.91,1.5,6.18,,,,,
Total,,,,,,,24.35,29.31,22.62,26.95,29.22,26.06,39.54,26.81,31.57,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationships to church and station but cannot locate Barningham. Altitudes match. NGR could be +/- 500m.,,,,,,,,,,,,,,,,,,,,
220m from RAWDON-MICKLEFIELD-HOUSE,,,,,,,,,,,,,,,,,,,,
