BLACKBURN PLEASINGTON SAMLESBURY SEWAGE WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD621292,Long,-2.576322,Lat,53.757771,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.2,0.58,0.59,4.05,5.29,4.6,1.75,4.62,2.95,1.1,2.07,5.22,2.6,3.15,,,,,,,
February,,,,,,,,,,2.79,3.11,5.11,2.6,3.45,2.73,2.5,0.6,1.35,0.92,2.3,0.88,0.6,3,,,,,,,
March,,,,,,,,,,1.83,2.74,3.37,3.71,0.85,2.85,2.65,1.82,2,2.67,2.75,3.36,1.35,0.94,,,,,,,
April,,,,,,,,,,1.78,1.39,1.55,5.26,2.26,1.02,1.32,1.9,1.4,1.55,2.17,1.21,1.78,1.73,,,,,,,
May,,,,,,,,,,2.28,2.42,4.28,2.46,0.87,1.35,1.68,4.02,1.59,0.31,2.71,2,2.35,4.75,,,,,,,
June,,,,,,,,,,4.49,3.32,2.6,4.65,4.12,1.73,2.35,1.7,0.64,2.13,0.68,4.65,2.05,4.5,,,,,,,
July,,,,,,,,,,5.13,5.06,4.74,6.04,2.5,4.68,1.53,3.62,1.58,6.13,2.61,3.82,4.2,2.4,,,,,,,
August,,,,,,,,,,6.6,2.15,5.05,4.57,2.49,2.23,1.46,1.4,1.59,4.41,6.85,6.11,7.57,6.25,,,,,,,
September,,,,,,,,,,3.1,3.31,2.15,2.32,5.65,3.5,4.52,3.31,5.35,1.76,3.67,4.35,4.5,5,,,,,,,
October,,,,,,,,,,3.72,3.3,2.22,2.96,4.77,2.08,4.6,5.1,2.25,2.52,3.5,3.5,5.4,5.3,,,,,,,
November,,,,,,,,,,0.84,5,4.82,6.38,3.66,1.56,2.58,2.55,1.82,6,2.4,7.3,5.5,3,,,,,,,
December,,,,,,,,,,1.9,6.06,4.97,3.25,3.14,3.89,2.04,4.48,2.9,2.4,3.73,0.33,9,3,,,,,,,
Total,,,,,,,,,,35.66,38.44,41.45,48.25,39.05,32.22,28.98,35.12,25.42,31.9,35.44,42.73,46.9,43.02,,,,,,,
