"BLACKBURN WW, SAMLESBURY, LOWER NABS HEAD FARM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD621292,Long,-2.576322,Lat,53.757771,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.72,2.4,1.15,1.7,3.74,,,,,,3.33,1.53,4.28,1.42,3.18,2.11,4.44,1.14,2.75,3.84,2.9,5.68,2.96,2.55,2.11,5.09,3.99,6.66,2.89,3.89,3.11,3.11,4.11,4.28,8.54,1.81,5.47,3.97,4.49,3.02,3.06,2,3.51,2.26,3.39,4.09,2.13,1.35,3.45,4.91,4.57,2.39,3.63,3.28,6.35,1.78,2.45,3.94,3.92,1.73,4.65,2.07,3.77,2.27,2.79,2.47,5.66
February,,,,,,,,,,,,,,,,,,,,,,,,5.65,4,0.25,1,2.35,2.51,,,,,,2.72,1.83,2.81,1.93,2.55,1.52,2.98,3.49,1.41,1.16,2.8,5.04,3.82,1.15,4.3,1.12,3.01,0.31,4.53,5.8,0.96,6.36,4.61,1.43,4.08,0.97,0.3,3.91,0.1,3.75,0.26,5,1.94,4.12,1.18,3.08,1.95,4,1.11,1.92,1.47,4.19,4.89,0.87,2.11,2.02,4.38,3.25,1.31,1.3,2.67,1.21,0.41,2.69,5.89,0.38,2.24
March,,,,,,,,,,,,,,,,,,,,,,,,1.01,2.25,2.9,4.8,3.2,1.44,,,,,,2.72,2.84,3.13,3.44,3.21,2.45,0.87,1.52,5.36,4.13,4.16,2.13,2.19,2.75,1.37,5.66,4.43,3.41,1.95,1.14,1.44,1.73,1.37,3.22,2.1,1.36,2.53,0.46,2.32,2.57,2.62,0.94,2.26,1.7,0.87,1.96,2.51,2.98,2.71,0.91,0.78,1.52,0.78,4.74,1.85,1.7,1.41,4.46,1.7,1.21,2.15,1.31,1.19,2.4,1.32,1.47,1.14
April,,,,,,,,,,,,,,,,,,,,,,,,0.18,1.85,1.7,1.15,3.05,2,,,,,,2.31,2.35,1.81,1.71,2.93,3.99,2.78,2.94,0.6,4.35,1.24,2.48,3.61,2.04,1.43,2.28,4.13,1.88,2.48,3.23,1.54,2.71,2.17,2.2,1.04,1.21,1.85,2.98,2.68,1.42,2.23,2.76,1.37,2.47,0.43,2.12,1.96,1.32,1.45,2.2,2.23,2.1,1.28,3.17,1.76,3.42,3.06,2.3,3.92,2.75,0.91,2.1,2.14,0.32,1.05,2.36,1.86
May,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.85,0.4,0.15,2.25,2.94,,,,,,2.62,0.61,4.41,4.38,2.77,2.38,3.34,1.41,2.5,3.22,2.23,1.62,2.74,1.68,1.88,1.66,7.05,2.41,2.09,4.05,5.38,3.95,3.62,1.27,1.11,2.62,1.28,1.98,4.54,1.54,3.25,1.67,1.19,2.3,3.27,1.11,1.19,2.25,2.52,2.47,3.95,3.26,1.41,2.37,1.66,2.87,1.38,2.21,2.24,2.34,2.39,2.59,1.65,1.4,5.12,1.25,1.68
June,,,,,,,,,,,,,,,,,,,,,,,,0.55,2.75,1.5,2.4,3.68,2.48,,,,,,1.41,3.1,1.86,7.32,1.89,2.93,2.72,3.84,5.55,2.46,2.02,2.16,2.74,2.68,2.09,1.73,3.07,0.38,2.79,1.23,2.89,0.23,1.74,3.66,5.54,1.81,2.35,6.47,0.87,2.7,2.19,2.86,4.15,2,4.27,5.24,0.82,0.89,0.78,3.39,2.67,4.28,2.87,2.92,5.26,1.23,2.34,1.48,3.27,1.62,2.79,2.92,1.87,1.58,4.19,3.11,0.91
July,,,,,,,,,,,,,,,,,,,,,,,,4.85,3.32,3.5,2.3,2.17,0.7,,,,,,1.98,3.42,2.13,3.56,3.95,5.58,4.78,0.58,5.85,1.56,4.71,3.93,3.3,3.23,4.37,1.73,5.34,2.23,5.38,4.44,4.38,2.65,3.95,3.77,2.74,3.18,5.95,3.92,4.12,2.65,1.59,2.39,3.74,1.65,4.13,6.57,4.05,2.11,4.5,3.15,3.64,2.43,4.31,3.11,2.32,3.17,3.97,3.01,2.49,4.53,5.26,1,4.34,4.8,3.04,3.73,5.33
August,,,,,,,,,,,,,,,,,,,,,,,,3.8,5.56,3.15,4.2,5.7,5.22,,,,,,5.2,3.75,4.11,4.39,3.73,3.06,5.24,2.29,5.95,2.18,2.61,6.1,3.54,5.73,4.98,4.02,1.79,5.23,6.07,5.45,5.9,3.77,4.27,5.61,6.86,5.4,6.29,5.68,1.59,2.7,3.74,1.85,2.19,2.87,2.98,1.93,2.4,5.63,4.58,5.55,3.22,1.98,6.47,0.14,4.57,2.86,7.43,3.75,5.59,4.26,5.27,1.01,10.61,5.2,4.89,0.6,4.03
September,,,,,,,,,,,,,,,,,,,,,,,,5.85,0.68,0.9,4.9,3.95,1.01,,,,,,2.01,3.03,1.2,0.91,4.38,2.4,0.42,5.02,1.58,1.6,4.13,0.86,2.81,2.74,13.1,2.8,2.69,1.88,3.76,4.68,4.34,4.49,4.79,6.81,1.41,2.08,2.73,3.54,5.73,1.63,3.52,8.06,4.1,2.11,1.92,1.43,4.03,1.25,3.18,3.97,6.17,2.9,6.46,4.21,2.91,2.33,6.1,2.96,3.71,4.27,5.86,2.83,3.68,6.71,4.13,0.47,3.2
October,,,,,,,,,,,,,,,,,,,,,,,,5.35,2.8,1.94,5.47,2.75,3.3,,,,,,2.34,3.62,6.46,3.49,1.98,5.25,3.25,2.5,3.81,1.9,2.03,1.05,7.56,8.25,4.26,2.91,1.28,3.88,0.9,5.13,5.03,5.38,3.89,3.01,5.45,6.4,5.67,2.69,5.87,4.36,5.54,7.28,4.03,1.9,8.08,2.3,3.91,4.16,6.55,4.22,5.16,5.01,0.96,0.79,2.42,4.18,3.18,0.98,2.92,1.91,7.44,2.31,2.26,5.28,3.66,4.26,2.68
