"SAMLESBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SD621292,Long,-2.576322,Lat,53.757771,,,,,,,
Station no,2956,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,3.92,1.73,4.65,2.07,3.77,2.27,2.79,2.47,5.66,,
February,3.25,1.31,1.30,2.67,1.21,0.41,2.69,5.89,0.38,2.24,,
March,4.46,1.70,1.21,2.15,1.31,1.19,2.40,1.32,1.47,1.14,,
April,2.30,3.92,2.75,0.91,2.10,2.14,0.32,1.05,2.36,1.86,,
May,2.21,2.24,2.34,2.39,2.59,1.65,1.40,5.12,1.25,1.68,,
June,1.48,3.27,1.62,2.79,2.92,1.87,1.58,4.19,3.11,0.91,,
July,3.01,2.49,4.53,5.26,1.00,4.34,4.80,3.04,3.73,5.33,,
August,3.75,5.59,4.26,5.27,1.01,10.61,5.20,4.89,0.60,4.03,,
September,2.96,3.71,4.27,5.86,2.83,3.68,6.71,4.13,0.47,3.20,,
October,0.98,2.92,1.91,7.44,2.31,2.26,5.28,3.66,4.26,2.68,,
November,7.71,2.12,5.00,6.04,1.76,1.55,1.59,1.57,5.31,7.08,,
December,8.46,3.35,1.79,4.54,4.19,3.94,4.52,3.30,6.46,3.94,,
Total,44.51,36.54,32.71,49.97,25.30,37.41,38.76,40.95,31.87,39.75,,
Calc annual,44.51,36.54,32.71,49.97,25.30,37.41,38.76,40.95,31.87,39.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
