MARTINSTOWN-THE-CHANTRY,,,,,,,,,,
Grid ref,SY648888,Long,-2.49938,Lat,50.69832,Elevation,270,ft,,
Station no,1565/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.65,4.66,4.23,6.32,4.07
February,,,,,,0.1,4.63,4,0.44,3.94
March,,,,,,0.88,3.92,1.71,4.56,2.6
April,,,,,,1.67,0.2,0.68,2.56,3.14
May,,,,,,0.83,2.87,2.99,1.25,1.72
June,,,,,,3.45,2.22,3.47,1.3,1.51
July,,,,,,3.82,4.47,3.26,1.77,4.49
August,,,,,,5.99,4.03,3.54,1.93,6.01
September,,,,,,6.77,3.99,6.1,0.12,6.7
October,,,,,3.49,2.06,3.24,3.92,4.93,11.04
November,,,,,4.37,1.1,2.4,4.5,5.44,6.84
December,,,,,6.75,6.72,3.1,5.61,9.64,4.97
Total,,,,,,39.04,39.73,44.01,40.26,57.03
,,,,,,,,,,
1960 Apr 28 Inspection House 30-45ft NE Otherwise satisfactory,,,,,,,,,,
,,,,,,,,,,
SRC_ID 7977,,,,,,,,,,
1955-1977,,,,,,,,,,
