"KIRRIEMUIR (LONGDRUM)",,,,,,,,,,,,
Grid ref,NO278619,Long,-3.182011,Lat,56.743124,,,,,,,
Station no,5583,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.60,2.60,1.30,3.10,4.60,3.40,4.60,4.40,2.50,4.20,,
February,5.60,1.60,1.60,4.70,2.10,1.50,4.90,3.00,0.70,7.60,,
March,2.10,5.20,0.80,4.90,2.50,3.40,3.40,4.50,3.70,2.80,,
April,2.90,2.00,2.90,1.00,1.00,1.00,1.40,1.20,4.00,4.80,,
May,1.80,3.80,2.20,5.80,2.70,0.80,2.60,3.70,1.10,2.90,,
June,2.30,2.80,2.40,2.20,1.20,3.80,2.00,3.70,2.90,2.60,,
July,2.65,2.90,3.70,3.20,0.60,4.85,6.80,3.90,4.50,3.65,,
August,5.80,3.10,2.40,2.50,0.70,6.60,4.80,4.40,1.50,6.80,,
September,3.20,1.30,4.80,4.10,1.70,5.70,3.10,5.10,1.00,3.64,,
October,1.10,5.00,2.60,6.70,2.70,2.60,2.20,3.40,4.60,11.60,,
November,14.20,2.70,3.70,8.10,2.90,1.65,2.20,1.40,8.50,6.60,,
December,3.40,3.20,5.40,5.30,7.40,8.00,5.70,7.10,10.60,3.00,,
Total,49.65,36.20,33.80,51.60,30.10,43.30,43.70,45.80,45.60,60.19,,
Calc annual,49.65,36.20,33.80,51.60,30.10,43.30,43.70,45.80,45.60,60.19,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
