STRATH BRAN (GARROWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN821403,Long,-3.918898,Lat,56.539864,Elevation,980,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5552/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.6,1.39,2.6,,4.33,2.36,6.97,6.91,6.12,4.23,3.62,4.42,3.55,1.08,4.04,3.05,2.95,,,2.69,6.03
February,,,,,,,,,,2.86,4.15,1.07,,1.56,5.94,4.29,1.29,6.72,4.45,5.53,3.37,0.52,1.42,4.27,3.2,2.37,,,1.47,6.03
March,,,,,,,,,,2.63,1.91,2.92,,0.71,4.29,1.85,6.3,5.08,1.51,3.69,1.71,4.44,1.43,3.65,1.56,3.88,,,4.53,3.75
April,,,,,,,,,,3.92,1.72,3.49,,3.42,1.71,1.03,11.75,2.88,3.52,3.69,4.03,2.35,2.86,1.52,1.58,1.64,,,5.45,7.71
May,,,,,,,,,,1.31,1.25,4.96,,2.84,5.79,1.89,3.71,3.4,3.49,2.19,1.93,3.04,3.4,6.74,2.66,2.83,,,1.16,4.26
June,,,,,,,,,,0.28,0.71,1.12,,3.78,3.83,3.12,4.22,5.44,1.43,1.17,2.24,3.04,2.22,2.54,1.15,4.06,,,2.62,2.39
July,,,,,,,,,,4.95,2.67,1.82,,3.65,4.86,4.67,4.92,2.42,1.07,5.64,3.54,1.54,4.08,2.5,1.15,4.62,,,5.44,3.35
August,,,,,,,,,,0.84,3.6,4.98,,2.87,2.11,4.14,0.04,7.34,4.17,6.31,6.6,3.79,2.48,4.16,1.63,6.82,,,2.29,4.51
September,,,,,,,,,,2.11,1.57,5.28,,3.94,6.37,7.56,5.24,4.73,1.56,7.81,4.41,2.7,5.17,4.96,2.81,7.9,,,0.72,5.43
October,,,,,,,,,,6.41,4.69,3.67,,5.89,4.72,0.71,2.66,4.45,6.53,4.74,1.35,7.05,2.9,8.19,3.43,3.45,,,6.81,9.17
November,,,,,,,,,,7.01,6.24,1.02,,6.78,0.9,7.19,6.11,2.5,4.98,4.89,11,1.82,6.36,11.19,2.95,2.31,,,10.64,7.72
December,,,,,,,,,,5.33,4.65,8.28,,6.4,6.4,5.93,1.88,10.13,7.28,1.94,6.23,3.95,6.95,8.22,6.95,8.24,,8.97,12.62,6
Total,,,,,,,,,,39.25,34.55,41.21,,46.17,49.28,49.35,55.03,61.21,44.22,51.22,50.83,37.79,40.35,61.98,32.12,51.07,,,56.44,66.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 -42 Low in comparion with Stn No 5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5552/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,15203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,871302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
