STRATH BRAN (GARROWS),,,,,,,,,,,,
Grid ref,NN821403,Long,-3.918898,Lat,56.539864,,,,,,,
Station no,5552/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,3.55,1.08,4.04,3.05,2.95,,,2.69,6.03,,
February,3.37,0.52,1.42,4.27,3.20,2.37,,,1.47,6.03,,
March,1.71,4.44,1.43,3.65,1.56,3.88,,,4.53,3.75,,
April,4.03,2.35,2.86,1.52,1.58,1.64,,,5.45,7.71,,
May,1.93,3.04,3.40,6.74,2.66,2.83,,,1.16,4.26,,
June,2.24,3.04,2.22,2.54,1.15,4.06,,,2.62,2.39,,
July,3.54,1.54,4.08,2.50,1.15,4.62,,,5.44,3.35,,
August,6.60,3.79,2.48,4.16,1.63,6.82,,,2.29,4.51,,
September,4.41,2.70,5.17,4.96,2.81,7.90,,,0.72,5.43,,
October,1.35,7.05,2.90,8.19,3.43,3.45,,,6.81,9.17,,
November,11.00,1.82,6.36,11.19,2.95,2.31,,,10.64,7.72,,
December,6.23,3.95,6.95,8.22,6.95,8.24,,8.97,12.62,6.00,,
Total,50.83,37.79,40.35,61.98,32.12,51.07,,,56.44,66.35,,
Calc annual,50.83,37.79,40.35,61.98,32.12,51.07,0.00,8.97,56.44,66.35,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,0.00,0.00,,
