BARTLOW-CASTLE-CAMPS-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL631431,Long,0.37778603,Lat,52.062268,Elevation,400,ft,,,,,,,,,,,,,
Station no,1187,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.96,1.25,2.43,,2.39,1.74,,,,,,,,,
February,,,,,,,2.71,3.14,1.2,,0.66,2.37,,,,,,,,,
March,,,,,,,0,1.67,1.84,,2.09,0.27,,,,,,,,,
April,,,,,,,2.52,1.25,1.13,,1.66,,,,,,,,,,
May,,,,,,,2.04,0.99,1.95,,3.01,3.05,4.55,,,,,,,,
June,,,,,,,2.6,2.79,2.66,,0.95,1.76,0.91,,,,,,,,
July,,,,,,,3.5,2.75,2.52,,3.95,,2.12,,,,,,,,
August,,,,,,,1.57,2.88,2.21,,3.04,,,,,,,,,,
September,,,,,,,1.9,5.3,0.75,,4.03,,,,,,,,,,
October,,,,,,,2.37,0.82,3.01,,1.31,0.37,4.55,,,,,,,,
November,,,,,,,3.32,2.38,1.74,,3.81,,2.15,,,,,,,,
December,,,,,,,0.66,2.36,3.05,,2.17,,,,,,,,,,
Total,,,,,,,25.15,27.58,24.49,,29.07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1931 Apr Jul Aug Sep Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
1932 Apr Aug Sep Dec estimated,,,,,,,,,,,,,,,,,,,,,
