HEREFORD (HAMPTON BISHOP),,,,,,,,,,,,,,,,,,,,
Grid ref,SO559382,Long,-2.643267,Lat,52.040495,Elevation,148,ft,,,,,,,,,,,,
Station no,RR4671,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.88,4.2,2.07,0.5,0.48,2.67,1.73,2.23,2.28,3.06,3.71,,,0.38,4.01
February,,,,,,3.57,0.9,0.59,0.5,1.09,0.66,0.12,2.37,3.22,2.61,0.04,,,1.38,3.26
March,,,,,,1.22,2.19,1.15,2.83,1.7,0.9,1.38,0.85,0.27,1.45,1.56,,,0.54,
April,,,,,,2.6,1.9,0.81,1.18,5.14,0.67,1.21,0.97,0.19,1.94,2.09,0.8,,1.68,2.19
May,,,,,,2,6.99,1.92,0.86,3.73,1.97,3.31,1.78,2.29,3.51,,0.2,,4.72,2.19
June,,,,,,2.01,2.48,1.05,3.34,0.52,1.54,2.34,2.55,0.96,1.45,0.85,2.17,2.54,1.01,
July,,,,,,0.12,1.97,0.69,5.07,4.08,1.74,1.02,3.39,2.94,3.49,4.4,0.71,1.34,,
August,,,,,,1.79,1.27,2.32,1.72,2.08,3.21,3.75,2.93,1.57,3.33,2.27,1.3,3.9,1.6,
September,,,,,,2.88,1.93,1.75,0.62,1.31,0.86,1.39,2.39,1.3,3.29,1.7,4.72,2.41,0.41,
October,,,,,,2.74,3.71,2.34,0.58,2.44,1.49,7.76,1.81,1.7,3.43,,2.28,1.61,3.89,
November,,,,,,2.86,2.19,3.39,7.91,0.81,1.97,3.42,2.54,1.33,4.14,3.92,0.57,1.6,1.91,
December,,,,,,0.92,3.67,1.74,2.76,1.12,1.07,2.66,1.16,4.87,1.89,2.74,,3.96,2.49,
Total,,,,,,24.59,33.4,19.82,27.87,24.5,18.75,30.09,24.97,22.92,33.59,,,,,
,,,,,,,,,,,,,,,,,,,,
"1870s at The Elms; house marked on 6"" OS 1888s map at 148' whereas record has 274' as elevation",,,,,,,,,,,,,,,,,,,,
