WITHAM-RIVENHALL-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,TL823165,Long,0.64346897,Lat,51.81739,Elevation,138,ft,,,,,,,,,,,,
Station no,RR6691,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.46,1.76,1.37,3.28,1.06,1,0.87,2.12,1.5,0.97,1.52,2.34,2.11,,,,
February,,,,2.43,1.14,2.54,0.18,0.5,1.6,2.3,1.14,0.07,2.51,3.02,1.16,0.23,,,,
March,,,,1.13,1.25,1.48,1.2,1.3,2.97,1.25,2.35,2.32,1.24,0.19,0.94,1.32,,,,
April,,,,1.78,0.97,1.37,1.23,1.26,1.99,2.15,1.13,0.56,1.38,0.12,1.55,1.09,,,,
May,,,,1.65,0.33,3.79,2.59,1.41,0.72,3.6,1.7,1.93,1.07,0.93,1.48,0.59,,,,
June,,,,2.47,1.81,1.7,0.51,0.56,2.03,1.7,2.27,1.11,4.98,0.79,2.1,1.46,,,,
July,,,,2.98,1.96,1.28,2.73,0.99,5.01,1.79,2.61,4.76,1.76,2.07,4.64,3.74,,,,
August,,,,0.97,1.01,1.87,1.27,1.65,3.92,2.94,3.96,3.45,3.49,2.12,1.91,1.9,,,,
September,,,,2.63,2.78,6.86,0.96,1.81,1.36,3.09,0.9,0.62,1.17,1.12,2.13,0.89,,,,
October,,,4.94,2.1,1.83,3.98,1.94,1.64,1.99,3.8,1.31,4,5.37,2.25,2.75,1.5,,,,
November,,,3.44,2.32,0.82,2.59,2.87,2.52,5.38,1.12,2.25,1.59,1.98,2.63,2.9,2.08,,,,
December,,,2.96,1.29,2.19,1.1,3.4,1.17,1.12,1.24,0.82,2.95,1.18,1.65,1.81,2.27,,,,
Total,,,,23.21,17.85,29.93,22.16,15.87,29.09,25.85,22.56,24.86,27.1,18.41,25.71,19.18,,,,
