WALSALL-DARTMOUTH-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK012005,Long,-1.9837152,Lat,52.602286,Elevation,455,ft.,,,,,,,,,,,,
Station no,2333/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.15,2.66,1.88,2.04,2.02,4.69,1.4,0.72,2.39,2.71,0.97,1.46,2.73,3.91,1.62,2.14,3.2,5.7
February,,,1.23,2.15,1.97,3.15,2.26,1.21,0.65,4.35,2.57,0.5,1.34,2.27,2.38,0.7,2.37,4.55,0.31,2.42
March,,,0.91,0.47,0.99,0.73,5.34,0.96,1.68,1.05,4.76,1.96,1.21,2.35,3.11,1.03,2.47,1.6,1.92,2.06
April,,,1.23,1.95,1.17,1.52,2.17,1.54,2.52,1.92,2.06,2.26,2.63,0.56,1.27,1.95,0.26,0.88,3.23,1.35
May,,,3.27,0.64,3.7,2.24,2.78,1.87,2.4,1.65,3.32,2.98,2.07,2.74,4.57,0.83,1.08,2.14,1.23,1.23
June,,,1.61,1.71,2.48,2.49,1.64,3.48,0.45,1.87,1.1,2.26,2.76,3.49,2.52,1.87,1.31,4.14,1,2.53
July,,,1,2.32,1.65,1.93,3.33,1.77,2.83,2.2,0.96,1.24,3.13,4.2,0.58,2.59,3.55,5.51,1.91,3.12
August,,,2.09,1.5,2.19,5.55,0.78,4.33,1.34,3.39,4.59,3.24,2.14,5.6,0.87,4.82,5.17,2.66,2.09,3.19
September,,1.4,2.58,3,1.3,3.64,1.63,2.49,0.89,3.86,2.39,1.46,2.66,1.84,1.8,3,4.48,3.64,0.21,5.33
October,,2.62,1.88,2.86,3.97,0.69,0.41,2.27,5.31,0.79,0.83,3.84,1.97,3.74,1.53,1.76,1.67,2.42,2.88,5.92
November,,1.2,1.98,4.23,0.24,5.45,2.07,1.5,2.81,3.76,6.69,2.51,1.85,5.39,2.82,0.96,2.2,1.74,3.89,3.76
December,,2.83,1.14,1.45,2.35,2.89,2.31,3.67,1.46,1.94,2.62,3.68,1.49,2.59,2.1,3.42,1.79,2.97,4.14,3.28
Total,,,24.07,24.94,23.89,32.32,26.74,29.78,23.74,27.5,34.28,28.64,24.22,36.23,26.28,26.84,27.97,34.39,26.01,39.89
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Dartmouth Avenue. Altitudes match.,,,,,,,,,,,,,,,,,,,,
