WATTON ABBEY,,,,,,,,
Grid ref,TA024497,Long,-0.442,Lat,53.933,Elevation,40,ft
Station no,RR6527,,,,,,,
,,,,,,,,
,1916,1917,1918,1919,1920,1921,,
January,0.71,3.22,1.30,2.83,2.92,2.17,,
February,2.87,0.85,1.75,1.62,1.09,0.29,,
March,3.53,1.32,1.02,2.69,1.79,0.96,,
April,0.96,1.55,1.63,1.58,3.95,0.90,,
May,2.48,1.44,1.96,0.82,2.19,1.83,,
June,1.68,1.53,0.36,0.60,0.97,0.24,,
July,1.61,1.00,4.57,1.76,4.85,0.80,,
August,2.71,5.73,2.94,2.61,1.20,2.94,,
September,0.76,0.78,5.34,1.24,1.42,0.80,,
October,3.16,2.98,1.02,4.07,1.55,1.04,,
November,3.36,1.38,1.46,2.76,0.93,2.24,,
December,2.92,1.37,3.49,3.29,2.88,1.88,,
Total,26.75,23.15,26.84,25.87,25.74,16.09,,
,,,,,,,,
TYRain_1910-1919_20_pt1/203,,,,,,,,
TYRain_1920-1930_23_pt1/125,,,,,,,,
