MORPETH MELDON PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ105854,Long,-1.8354,Lat,55.1653,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.7,2.03,2,3.48,0.95,4.96,3.39,1.31,0.35,1.68,1.27,2.55,4.06,1.74,4.97,1.24,1.62,1.02,2.91,1.3,1.77,1.51,2.21,5.49,1.17,,,
February,,2.82,3.28,1.69,1.93,2.29,3.28,1.9,1.63,3.58,1.86,3.89,1.64,1.31,1.47,0.94,1.4,0.63,1.48,1.38,1.55,0.03,2.92,3.7,4.16,1.24,0.81,,,
March,,0.68,4.23,2.67,1.6,0.95,2.74,5.31,0.94,1.32,1.82,3.1,1.69,1.75,2.03,2.21,3.48,2.14,4.64,2.7,2.12,3.81,1.23,0.93,1.22,2.81,3,,,
April,,4.01,3.07,0.93,1.5,0.81,4.55,5.15,2.23,2.85,1.98,1.46,2.84,1.61,1.83,2.1,1.61,1.01,1.99,4.1,0.82,1.96,1.48,0.46,1.63,1.26,0.94,,,
May,,1.02,2.21,2.1,2.3,0.7,1.12,3.94,2.94,2.54,1.88,2.29,1.62,1.75,1.87,3.95,2.61,2.12,0.66,1.8,2.21,2.92,4.05,1.55,3,0.5,0.82,,,
June,,3,2.4,1.8,1.21,1.86,1.76,1.4,2.83,3.88,1.58,3.25,4.13,2.02,0.57,1.14,1.47,0.26,3.04,0.34,3.65,0.84,3.84,1.04,3.04,3.28,2.82,,,
July,,2.9,4,2.44,3.71,2.7,2.13,3.54,0.44,4.07,3.58,3.56,3.13,4.38,3.59,1.74,3.08,2.02,4.63,3.48,1.75,3.73,1.66,3.36,1.96,5.31,3.48,,,
August,,1.72,3.92,3.82,3.15,2.36,1.36,8.59,4.86,4.55,1.67,5.95,3,3.28,1,3.36,1.03,2.24,1.98,3.15,5.74,4.97,4.52,2.17,3.84,3.52,1.68,,,
September,,5.04,4.62,2.46,2.05,3.34,4.19,1.48,2.01,1.24,4.32,4.86,1.91,4.17,2.79,3.26,2.42,4.35,1.33,1.54,2.04,3.06,2.67,2.04,1.16,0.65,3.07,,,
October,,2.86,5.65,2.38,2.12,4.88,1.77,4,1.8,0.6,4.5,4.02,3.86,1.83,1.48,4.21,4.54,1.84,1.03,5.33,1.9,2.5,5.54,1.09,4.69,4.44,5.54,,,
November,,2.04,4.79,2.01,4.21,5.96,4.26,2.33,6.44,2.77,2.82,2.49,3.17,1.91,1.79,2.34,4.08,3.65,6.46,0.68,3.86,2.97,1.35,2.7,0.95,2.75,1.38,,,
December,,1.82,6.01,0.6,5.57,1.9,10.62,2.23,3.67,0.94,3.43,3.05,3.85,1.72,2.65,0.92,3.75,3.53,1.2,1.02,1.87,4.03,1.53,1.29,1.93,1.84,6.52,,,
Total,27.25,,46.88,24.93,31.35,31.23,38.73,44.83,33.18,29.65,29.79,39.6,32.11,28.28,25.13,27.91,34.44,25.03,30.06,26.54,30.42,32.12,32.56,21.84,29.79,33.09,31.23,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1871 estimated - removed along with annual total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1873 = 2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
