MAKERSTOUN OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT674318,Long,-2.517855,Lat,55.579207,Elevation,225,ft,,,,,,,,,,,,,,
Station no,RR321,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,,1.98,1.91,1.32,,0.23,0.96,2.77,1.62,3.36,3.64,3.15,3.14,0.76,,,,,,
February,,,,1.93,2.08,0.71,,0.75,3.78,0.73,2.65,0.98,1.79,3.77,0.51,1.95,,,,,,
March,,,,0.93,1.63,1.28,,0.29,3.46,1.51,0.14,2.56,0.38,0.33,0.66,0.91,,,,,,
April,,,,2.23,0.68,1.26,,1.23,1.03,2.48,1.58,2.41,0.89,0.09,0.04,0.79,,,,,,
May,,,,3.24,0.55,2.22,,4.36,0.29,2.78,3.3,0.8,1.59,0,,1.58,,,,,,
June,,,,1.31,3.08,2.94,,1.97,3.4,2.43,1.52,3.02,2.8,2.31,,1.86,,,,,,
July,,,1.8,2.68,2.55,1.46,,3.15,1.79,2.09,2.49,2.77,0.73,2.88,,4.34,,,,,,
August,,,2.2,2.75,1.51,3.16,,1.03,3.22,2.75,2.69,4.92,5.04,2.19,,,,,,,,
September,,,3.08,1.08,3.11,1.84,,1.38,1.18,1.66,1.9,1.98,2.94,1.9,0.78,1.1,,,,,,
October,,,1.32,3.64,1.54,4.25,,2.03,3.57,2.67,2.38,1.36,3.2,4.62,2.29,2.53,,,,,,
November,,,1.85,2.04,2.78,1.7,,2.54,2.73,1.37,1.48,0.85,3.05,0.89,,1.81,,,,,,
December,,,2.1,0.95,0.36,1.85,,4.05,1.63,2,0.62,0.56,6.05,1.51,1.77,0.76,,,,,,
Total,,,,24.76,21.78,23.99,,23.01,27.04,25.24,22.37,25.57,32.1,23.64,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,
NGR is location of observatory and the altitude is read from OS maps,,,,,,,,,,,,,,,,,,,,,,
