MAKERSTOUN GARDEN,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT676319,Long,-2.514694,Lat,55.580119,Elevation,171,ft,,,,,,,,,,,,,,
Station no,RR321,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,1.5,0.4,3.19,0.04,1.88,2.87,2.01,1.59,2.89,2.33,1.64,2,1.7,1.13,,,,,,
February,,,1.29,1.97,1.05,2.84,2.53,1.43,1.18,0.95,1.46,1.14,1.31,1.95,1.97,0.81,,,,,,
March,,,0.71,2.77,0.73,1.25,2.23,1.93,1.85,1.92,0.77,1.35,2.24,0.95,1.65,1.05,,,,,,
April,,,0.83,1.14,1.23,0.68,1.45,2.84,1.5,0.28,0.08,1.78,0.08,1.95,0.56,1.12,,,,,,
May,,,1.95,0.81,0.66,1.67,0.46,1.02,1.81,0.4,3.5,1.49,2.12,3.17,0.38,1.7,,,,,,
June,,,4.37,3.41,1.79,0.47,2.14,2.05,4.08,2.66,3.17,1.74,1.49,1.24,2.86,2.59,,,,,,
July,,,0.53,1.83,3.55,0.86,3.96,5.3,2.37,2,2.9,2.48,1.7,2.47,2.51,1.3,,,,,,
August,,,3.74,1.31,3.7,2,2.91,2.96,2.52,2.01,2.13,3.85,1.88,2.51,1.5,2.89,,,,,,
September,,,1.18,2.13,2.97,2.75,1.93,2.06,2.9,3.94,2.93,3.41,2.75,1,2.96,1.65,,,,,,
October,,,3.43,1.88,2.04,2.96,3.08,1.25,2.25,3.09,1.82,5.5,1.19,3.73,1.29,3.97,,,,,,
November,,,2.97,1.2,1.7,3.61,3.01,1.43,1.98,2.61,2.52,2.43,1.84,1.82,2.77,1.53,,,,,,
December,,,1.61,3.75,1.21,1.28,4.25,1.82,0.61,1.89,0.78,1.83,1.56,0.66,0.68,1.4,,,,,,
Total,,,24.11,22.6,23.82,20.41,29.83,26.96,25.06,23.34,24.95,29.33,19.8,23.45,20.83,21.14,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,
"NGR is in the Gardens of Makerstoun but could be +/- 500 yards. The records state ""in the centre of the garden"" but this does not match the altitude. To match the altitude the gauge would be at the eastern end of the estate",,,,,,,,,,,,,,,,,,,,,,
