MAKERSTOWN GREENHOUSE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT674320,Long,-2.517878,Lat,55.581004,Elevation,192,ft,,,,,,,,,,,,,,
Station no,RR321,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,,,,,1.86,1.47,0.77,1.84,1.29,1.09,0.84,1.26,0.94,,,,,,
February,,,,,,,,0.93,0.57,0.63,1.08,0.72,0.98,0.95,1.38,0.57,,,,,,
March,,,,,,,,1.23,1.16,2.06,0.51,0.99,1.78,0.7,0.98,0.9,,,,,,
April,,,,,,,,2.18,1.15,0.28,0.01,1.47,0.05,1.63,0.43,0.85,,,,,,
May,,,,,,,,0.82,1.65,0.23,3.04,1.13,1.75,2.53,0.38,1.82,,,,,,
June,,,,,,,,1.93,3.78,2.26,2.73,1.17,1.24,1.09,2.75,2.38,,,,,,
July,,,,,,,,5.01,2.17,1.72,2.58,2.14,1.49,2.26,2.17,0.99,,,,,,
August,,,,,,,,2.64,2.34,1.64,1.91,3.53,1.74,2.36,1.22,2.41,,,,,,
September,,,,,,,,1.75,2.79,3.25,2.49,2.93,2.49,0.86,2.61,1.47,,,,,,
October,,,,,,,,0.96,1.74,2.21,1.59,4.8,0.93,3.19,1.04,3.54,,,,,,
November,,,,,,,,1.15,1.77,1.86,2.03,2.34,1.43,1.45,2.27,1.14,,,,,,
December,,,,,,,,1.56,0.43,1.34,0.67,1.41,1.07,0.49,0.43,0.85,,,,,,
Total,,,,,,,,22.02,21.02,18.25,20.48,23.92,16.04,18.35,16.92,17.86,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,
NGR is for a walled garden area at the right altitude,,,,,,,,,,,,,,,,,,,,,,
