CONGLETON (BUGLAWTON HALL),,,,,,,,,,,,
Grid ref,SJ885644,Long,-2.173513,Lat,53.176579,,,,,,,
Station no,2770/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,3.82,1.49,2.64,2.74,3.93,1.61,2.97,2.54,4.61,,
February,3.39,1.44,1.53,3.46,2.44,0.90,1.74,4.27,0.43,2.19,,
March,4.88,2.03,1.55,2.32,2.66,1.49,2.79,1.29,1.60,1.14,,
April,2.95,3.60,2.71,0.56,1.71,1.21,0.76,1.12,2.50,1.28,,
May,2.31,2.50,1.97,2.88,2.95,1.10,1.12,2.94,0.75,1.84,,
June,2.20,2.88,2.56,3.59,2.80,3.51,2.05,4.64,1.36,2.02,,
July,3.59,2.29,4.32,5.37,1.19,4.93,5.59,4.17,2.02,4.02,,
August,4.87,1.70,3.53,6.17,0.95,8.64,4.51,5.19,0.66,3.95,,
September,2.32,3.12,2.77,3.71,2.31,1.87,5.76,4.03,0.14,3.71,,
October,0.76,3.18,2.31,5.69,2.16,2.57,2.92,3.21,2.12,4.56,,
November,7.46,2.08,2.26,5.83,1.62,1.66,1.50,1.77,3.87,4.60,,
December,4.31,2.71,1.31,4.49,2.95,3.50,2.91,2.99,4.47,3.68,,
Total,41.63,31.35,28.31,46.71,26.48,35.31,33.26,38.59,22.46,37.60,,
Calc annual,41.63,31.35,28.31,46.71,26.48,35.31,33.26,38.59,22.46,37.60,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
