FILEY - PUMPING STATION,,,,,,,,,,,,,,,
Grid ref,TA114807,Long,-0.293,Lat,54.210,Elevation,123,ft,,,,,,,
Station no,3407/2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.07,2.04,4.62,0.68,1.15,1.71,1.99,1.17,1.53,1.31,3.98,1.17,2.69,2.68,5.42
February,,1.74,0.83,0.59,2.92,2.07,0.92,1.44,1.88,2.38,2.98,2.17,3.98,0.36,1.97
March,,3.22,0.78,0.88,0.68,2.68,1.67,0.20,1.97,2.38,0.86,1.11,2.23,1.52,1.15
April,,2.67,1.00,1.69,2.53,1.49,0.89,2.14,0.29,1.01,1.09,0.51,1.10,2.32,0.75
May,,0.70,1.44,1.52,1.78,3.65,1.06,1.29,1.95,2.58,0.82,0.94,2.45,0.51,0.82
June,,2.10,3.08,0.68,1.20,1.37,1.23,2.30,1.06,1.19,3.68,1.82,3.19,2.83,0.36
July,3.51,1.02,1.26,0.83,2.76,1.79,2.44,1.25,1.61,1.20,4.11,4.02,2.26,2.59,3.08
August,3.47,0.35,3.48,1.91,3.82,5.66,1.39,2.76,5.01,1.23,4.95,2.61,1.46,0.82,3.34
September,4.01,1.18,1.90,1.27,2.13,1.14,4.59,0.89,1.79,1.26,1.36,3.02,1.92,0.38,2.07
October,1.13,0.49,1.17,2.17,0.87,0.97,2.33,1.73,3.65,2.79,1.50,2.52,1.56,1.64,6.40
November,4.35,1.35,0.48,3.15,3.71,3.96,4.51,1.91,5.31,1.22,1.61,2.51,0.64,4.23,4.45
December,3.54,1.14,1.79,1.67,3.74,1.53,2.23,1.04,1.85,3.37,2.22,1.98,3.19,4.52,3.76
Total,,18.00,21.83,17.04,27.29,28.02,25.25,18.12,27.90,21.92,29.16,24.38,26.67,24.40,33.57
,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/137,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/228,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The station continued until 1993 according to MIDAS.,,,,,,,,,,,,,,,
