"DUNSE CASTLE",,,,,,,,,,,,
Grid ref,NT775543,Long,-2.360300,Lat,55.781490,,,,,,,
Station no,5092,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.77,2.17,1.53,3.57,2.70,0.44,2.17,0.62,2.25,1.25,,
February,6.88,3.12,1.56,3.30,3.33,1.10,1.08,2.29,1.99,2.47,,
March,2.66,2.03,0.99,2.36,2.42,2.27,2.30,1.69,4.29,6.58,,
April,1.59,1.75,2.22,1.82,1.82,3.75,1.38,1.57,1.83,3.78,,
May,1.30,2.60,3.30,1.60,3.03,0.73,7.32,3.65,2.52,2.34,,
June,3.67,1.42,2.96,2.32,2.15,0.41,1.74,3.65,1.31,1.74,,
July,3.30,1.41,1.97,5.40,2.61,2.00,2.27,1.74,4.05,2.46,,
August,5.67,4.26,1.03,4.28,3.10,4.04,4.73,2.41,1.88,2.36,,
September,2.20,1.17,1.19,2.67,1.30,2.87,0.57,1.05,2.37,2.55,,
October,5.35,1.80,1.97,7.93,0.83,3.94,7.13,6.03,3.51,3.54,,
November,4.95,3.65,2.11,1.71,1.46,4.76,3.50,1.88,1.40,0.59,,
December,3.67,3.80,3.97,1.96,2.16,0.50,2.55,3.30,0.53,4.08,,
Total,45.01,29.18,24.80,38.92,26.91,26.81,36.74,29.88,27.93,33.74,,
Calc annual,45.01,29.18,24.80,38.92,26.91,26.81,36.74,29.88,27.93,33.74,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
