DUNS CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT775543,Long,-2.3603,Lat,55.78149,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,4.2,1.22,1.66,0.87,2.27,1.73,2.2,2.04,3.28,4.86,1.22,2.33,0.65,3.58,3.77,2.17,1.53,3.57,2.7,0.44,2.17,0.62,2.25,1.25,2.62,1.34,2.31,2.71,1.58,2,2.02,3.28,2.55,3.64,2.18,4.51,2.15,1.64,2,1.36,2.73,2.04,3.68,2.34,2,2.77,1.81,1.1,1.4,1.67,4.58,3.2,3.07,5.67,1.79,4.11,4.51,2.62,1.22,6.77,1.76,2.84,6.96,1.5,1.4,3.61,1.83,1.01,1.37,1.75,1.9,3.12,1.88,1.16,4.12,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.74,0.53,2.43,1.45,1.47,0.14,2.36,3.38,6.27,1.56,1.26,1.38,1.81,1.95,6.88,3.12,1.56,3.3,3.33,1.1,1.08,2.29,1.99,2.47,1.98,1.23,2.67,0.92,1.7,3.24,3.89,1.1,2.05,2.86,2.04,0.4,2.46,3.58,1.32,4.49,3.7,0.82,2.03,1.79,1.91,1.93,0.82,2.92,0.2,1.63,3.81,3.83,0.72,1.76,1.73,6.99,2.82,1.24,2.12,1.97,0.93,3.27,1.69,0.87,2.45,1.92,0.58,1.38,2,2.41,1.7,2.78,1.49,0.46,1.52,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.33,2.22,2.97,2.64,2.14,4.25,1.54,1.13,1.17,3.8,2.19,4.33,1.68,3.16,2.66,2.03,0.99,2.36,2.42,2.27,2.3,1.69,4.29,6.58,0.79,2.38,2.28,3.14,3.71,1.87,3.94,1.28,1.22,2.79,3.38,2.1,1.8,1.13,0.66,2.82,1.27,2.54,3.86,0.13,2.38,1.42,3.53,1.18,3.9,1.94,2.27,4.8,0.64,2.89,3.16,2.98,1.68,1,0.84,0.56,2.23,5.89,0.51,1.15,1.98,,1.55,0.09,1.89,1.38,0.76,1.76,2.77,0.68,1.3,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.37,1.07,2.47,4.13,0.83,1.25,1.08,1.29,1.56,1.18,1.19,1.6,3.35,3.06,1.59,1.75,2.22,1.82,1.82,3.75,1.38,1.57,1.83,3.78,2.01,1.41,0.06,2.99,1.11,0.46,2.48,2.19,0.93,1.47,2.47,0.75,2.36,1.72,1.14,2.76,2.53,1.6,1.55,1.57,2.19,3.22,2.46,1.97,4.37,2.87,1.71,1.59,0.3,1.3,1.94,1.68,1.08,0.99,1.89,1.35,0.42,3.57,1.83,1.05,2.48,,1.9,2.84,0.8,0.57,0.69,0.81,1.84,1.87,1.16,,,,,,,,,,,,,,,,,,,
May,,,,,,,4.05,2.13,0.86,2.12,1.3,1.56,2.85,2.18,3.96,1.07,0.99,1.52,2.23,3.85,1.3,2.6,3.3,1.6,3.03,0.73,7.32,3.65,2.52,2.34,1.61,0.83,0.91,2.53,1.83,1.37,3.08,1.92,2.17,1.01,2.96,2.24,0.66,2.06,4.77,4.04,1.92,2.64,1,1.49,1,3.62,2.43,1.02,1.64,1.01,1.8,3.5,2.75,1.14,1.14,2.19,2.87,4.42,2.64,4.05,1.53,3.06,1.77,1.82,1.59,,2.05,2.5,5.34,1.89,0.62,1.53,2.62,0.49,1.76,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.39,0.65,2.97,0.66,3.11,0.83,2.71,3.34,2.43,2.73,2.03,3.21,1.42,1.31,3.67,1.42,2.96,2.32,2.15,0.41,1.74,3.65,1.31,1.74,0.86,5.15,4.58,2.75,2.77,1.65,2.33,1.02,0.34,1.28,0.78,0.7,1.67,1,1.75,0.35,3.56,3.56,5.19,2.19,1.66,4.66,1.54,0.91,2.41,3.25,1.77,1.55,4.23,2.1,0.55,1.07,1.01,2.53,3.71,2.57,2.03,3.04,4.35,1.16,2.18,,2.96,2.8,2.75,1.26,2.74,1.25,3.39,1.79,1.09,,,,,,,,,,,,,,,,,,,
July,,,,,,,3.74,2.42,4.92,4.89,2.84,1.88,1.76,3.09,3.15,5.91,3.3,1.84,1.06,3.29,3.3,1.41,1.97,5.4,2.61,2,2.27,1.74,4.05,2.46,3.8,0.71,1.8,0.74,1.57,4.55,4.94,2.2,3.27,0.71,3.6,2.45,5.13,1.68,4.86,2.49,3.77,3.53,1.74,4.04,4.08,3.92,2,3.36,1.73,1.17,3.12,2.62,3.25,3.31,7.51,1.85,2.39,2.39,2.96,2.52,2.39,2.25,2.31,2.33,2.37,,0.99,3.48,1.97,2.39,3.23,3.31,5.09,2.79,4.28,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.7,1.73,2.19,4.75,4.22,5.3,3.17,1.71,4.73,3.72,2.43,3.93,3.46,1.11,5.67,4.26,1.03,4.28,3.1,4.04,4.73,2.41,1.88,2.36,3.9,1.18,4.7,1.55,1.72,2.87,3.98,8.16,1.71,2.49,3.47,3.74,2.03,4.31,2.53,2.59,2.25,6.81,4.52,4.52,5.06,4.35,0.81,1.86,3.81,3.44,1.49,3.33,1.63,2.27,0.74,3.51,1.74,4.34,2.98,4.12,5.55,0.14,10.94,2.29,2.82,,3.17,2.05,5.66,0.45,10.71,5.6,3.76,0.59,3.33,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.89,4.84,0.72,1.53,2.17,6.22,1.38,1.09,1.78,0.32,4.53,2.32,1.59,3.49,2.2,1.17,1.19,2.67,1.3,2.87,0.57,1.05,2.37,2.55,1.01,1.61,3.28,1.73,0.92,2.89,2.83,1.3,5.76,1.38,1.37,1.42,2.72,1.53,3.36,4.21,4.28,5.96,2.01,0.28,4.36,2.06,3.64,1.2,2.49,2.92,3.32,1.6,2.76,1.89,1.81,0.79,2.64,1.92,4.55,3.16,2.91,1.19,2.71,1.48,4.32,1.41,2.79,2.72,2.97,1.66,3.36,1.97,2.19,0.54,2,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.69,1.63,1.13,5.84,2.64,1.83,5.27,1.52,4.84,7.1,5.81,2.77,6.08,1.8,5.35,1.8,1.97,7.93,0.83,3.94,7.13,6.03,3.51,3.54,3.69,3.98,3.25,1.73,2.23,2.34,3.34,3.93,3.26,3.24,2.28,3.01,3.27,2.74,3.05,1.88,4.3,2.22,3.75,2.95,3.26,1.51,6.83,3.74,4.22,4.27,1.77,2.97,4.47,4.61,3.85,4.35,2.76,1.99,2.67,4.84,0.74,1.17,3.13,5.45,1.66,0.53,3.81,1.51,4.93,2.33,1.89,1.74,1.43,2.18,6.45,,,,,,,,,,,,,,,,,,,
November,,,,,,,1.92,4.32,5.27,0.76,4.39,2.98,1.2,3.47,1.08,3.15,1.51,2.63,3.65,2.75,4.95,3.65,2.11,1.71,1.46,4.76,3.5,1.88,1.4,0.59,3.75,5.31,1.72,1.8,4.09,2.97,2.91,2.11,1.29,7.01,1.61,1.96,1.07,3.33,1.4,1.76,3.64,3.27,3.7,3.27,4.17,3.8,1.13,2.5,3.22,3.8,3.76,0.92,3.78,3.01,4.24,3.24,0.54,2.58,5.78,0.91,5.67,2.87,1.82,3.28,6.23,6.65,3.78,2.54,2.82,1.57,0.78,1.4,0.84,3.88,2.39,,,,,,,,,,,,,,,,,,,
