"DUNS CASTLE",,,,,,,,,,,,
Grid ref,NT775543,Long,-2.360300,Lat,55.781490,,,,,,,
Station no,5092,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,1.83,1.01,1.37,1.75,1.90,3.12,1.88,1.16,4.12,,
February,1.92,0.58,1.38,2.00,2.41,1.70,2.78,1.49,0.46,1.52,,
March,,1.55,0.09,1.89,1.38,0.76,1.76,2.77,0.68,1.30,,
April,,1.90,2.84,0.80,0.57,0.69,0.81,1.84,1.87,1.16,,
May,,2.05,2.50,5.34,1.89,0.62,1.53,2.62,0.49,1.76,,
June,,2.96,2.80,2.75,1.26,2.74,1.25,3.39,1.79,1.09,,
July,,0.99,3.48,1.97,2.39,3.23,3.31,5.09,2.79,4.28,,
August,,3.17,2.05,5.66,0.45,10.71,5.60,3.76,0.59,3.33,,
September,1.41,2.79,2.72,2.97,1.66,3.36,1.97,2.19,0.54,2.00,,
October,0.53,3.81,1.51,4.93,2.33,1.89,1.74,1.43,2.18,6.45,,
November,6.65,3.78,2.54,2.82,1.57,0.78,1.40,0.84,3.88,2.39,,
December,1.29,4.14,2.30,2.12,3.78,2.23,2.17,4.39,3.63,2.27,,
Total,,29.55,25.22,34.62,21.44,30.61,27.44,31.69,20.06,31.67,,
Calc annual,15.41,29.55,25.22,34.62,21.44,30.61,27.44,31.69,20.06,31.67,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
