DERBY SWANWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK351364,Long,-1.4792,Lat,52.9242,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January ,,,,,,,,,,2.5,1.1,0.62,1.15,0.3,1.85,1.05,2.5,1.9,1.91,2.37,2.07,1.07,0.75,2.09,0.67,0.85,0.53,1.43,3.17,0.68,0.96,1.78,1,0.79,2.63,2.47,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February ,,,,,,,,,,1.96,1.84,1.82,1.74,2.14,1.05,2.39,0.75,2.03,0.97,3.53,1.17,0.11,1.67,2.72,0.46,0.69,1.97,1.38,1.69,1.49,1.5,1.74,0.03,4.17,0.7,2.17,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March ,,,,,,,,,,0.87,1.5,1.58,4.15,0.72,1.11,2.56,1,0.74,4.07,1.02,0.9,2.72,1.69,0.89,2.42,0.44,0.46,3.48,1.15,0.14,0.33,2.14,1.4,0.92,0.94,2.44,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April ,,,,,,,,,,1.99,1.33,1.17,0.71,0.59,3.47,1.75,3.05,0.03,6.86,1.55,1.42,1.98,0.79,1.02,1.3,1.94,0.55,0.53,3.33,3.5,2.87,1.21,1.7,1.91,0.86,1.59,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May ,,,,,,,,,,2.36,3.2,4.1,1.86,3.25,0.98,2.18,1.65,2.59,1.36,1.8,2.41,1.56,3.04,1.77,0.83,2.58,1.04,1.25,0.33,0.14,3.66,0.8,2.62,0.17,1.16,1.69,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June ,,,,,,,,,,1.94,1.42,0.88,2.12,1.17,1.98,1.73,1.65,2.53,0.87,2.12,1.45,3.04,1.68,2.5,4.44,1.62,0,0.68,1.15,3.44,4.59,0.87,5.05,3.85,1.52,1.32,,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July ,,,,,,,,,,1.47,3.01,3.85,1.92,1.93,2.34,1.19,3.12,4.21,0.78,1.79,1.79,1.05,4.24,2.15,0.82,0.01,1.93,1.58,11.32,3.23,3.08,2.75,1.43,0.34,5.34,1.1,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August ,,,,,,,,,,3.66,3.4,1.23,1.61,0.56,2.76,2.75,1.43,5.75,0.3,1.19,1.23,2.81,1.27,3.98,2.35,3.26,2.05,1.91,1.45,4.28,3.01,1.5,4.72,2.82,2.6,0.85,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September ,,,,,,,,,,3.32,1.85,2.33,1.06,1.42,1.49,2.54,2.75,0.33,2.88,2.45,0.46,5,0.61,1.39,3.43,1.54,3.68,1.97,2.37,4.93,3.44,3.13,0.23,0.86,1.79,1.05,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October ,,,,,,,,,,0.33,2.52,3.5,4.16,5.24,3.44,2.34,3.3,0.42,1.85,1.21,2.26,1.71,4.21,2.89,7.03,3.08,0.83,4.07,1.43,1.05,0.78,1.88,2.74,2.94,1.14,0.69,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
