SEAHAM HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ420505,Long,-1.347446,Lat,54.847552,Elevation,106,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,2.82,1.04,1.46,1.46,3.65,1.9,1.75,1.13,2.27,2.1,0.92,1.65,2.47,0.66,2.82,1.79,1.07,0.54,0.95,0.72,1.45,3.58,1.77,2.65,1.98,0.97,1.49,1.54,1.42,,1.35,1.23,4.57,0.95,2.15,1.18,2.84,2.6,1.45,0.85,2.47,1.94,0.22,2.42,0.43,1.24,
February,,,,0.41,2.08,1.82,1.58,0.7,0.63,1.1,1.22,2.01,2.31,1.79,0.92,0.84,1.9,1.69,1.11,3.12,1.76,2.89,0.62,1.91,1.23,1.21,0.82,0.56,1.28,1.37,1.45,0.07,,2.02,2.4,1.12,0.57,1.64,1.03,1.17,5.81,1.85,1.35,0.95,2.42,0.69,1.13,0.94,0.67,
March,,,3.37,1.81,2.56,1.24,2.95,2.13,1.14,1.74,1.14,0.46,3.08,1.61,1.33,0.64,2,2.66,1.06,0.75,1.74,4.51,0.95,2.38,2.77,1.67,2.84,2.59,5.44,2.92,1.72,2.65,,0.18,0.69,2.21,1.96,2.61,1.41,2.07,1.84,1.92,0.35,1.46,1.42,1.29,0.9,0.9,2.82,
April,,,1.13,0.79,2.11,1.2,2.12,1.5,2.05,1.27,0.55,2.59,2.14,1.5,1.29,1.81,3.23,4.7,2.56,2.1,2.3,1.24,4.85,1.53,2.01,2.41,2.03,0.87,1.76,2.63,0.86,2.01,,0.65,1.08,1.72,0.55,1.37,2.63,2.04,0.53,1.12,1.55,1.56,0.83,2.88,1.2,2.35,1.93,
May,,,2.48,1.58,2.09,3.99,0.94,2.51,1.38,3.18,1.23,1.49,1.9,2.69,2.9,0.87,1.46,2.4,3.07,1.3,1.51,1.61,3.29,1.38,1.15,3.53,2.83,1.63,0.69,2.16,2.9,2.06,,1.04,2.92,1.19,0.87,1.26,2.1,3.2,1.48,2.17,1.98,2.27,2.81,0.53,5.17,4.76,1.59,
June,,,3.13,4.59,1.79,0.84,2.36,1.77,0.66,1.45,1.28,2.69,2.63,1.29,0.67,1.17,0.83,1.92,1.8,4.16,1.51,2.04,3.14,3.37,0.75,2.8,0.75,0.4,2.17,0.65,3.62,0.31,,1.18,4.02,1.9,2.5,2.7,2.48,2.11,3.77,1.41,2.33,3.21,1.46,0.71,0.96,2.94,0.58,
July,,,1.77,1.26,0.54,2.06,4.13,2.99,0.57,0.78,0.42,3.93,4.03,2.74,1.51,4.72,2.72,2.17,0.21,3.22,3.98,4.33,3.13,5.23,3.36,1.66,5.73,1.29,8.31,3.93,1.97,4.94,,3.32,3.23,5.17,2.24,1.14,0.54,2.62,2.13,4.93,2.56,4.31,1.59,1.29,0.51,1.54,2.7,
August,,,3.85,2.49,0.71,3.18,3.15,2.98,1.7,1.3,2.25,0.76,3.34,,2.4,3.31,2.07,5.93,5.49,2.6,1.7,6.62,2.91,2.32,1.26,3.85,1.26,2.56,2.47,3.79,6.61,4.42,,2.22,2.81,3.55,1.81,3.04,2.11,0.91,5.23,2.1,1.75,2.28,3.77,3.54,2.4,2.02,1.68,
September,,,1.04,1.92,1.05,0.29,4.27,1.68,4.44,3.44,0.61,4.97,4.35,,3.17,1.67,3.76,2.19,1.85,1.19,4.86,4.36,1.25,3.81,1.3,2.59,1.7,5.7,1.74,1.42,1.99,2.03,,1.45,0.94,0.51,2.74,2.63,0.53,2.5,1.08,1.26,0.9,2.88,0.82,2.07,0.46,0.29,1.83,
October,,,1.79,3.48,4.36,5.92,1.81,1.18,1.8,2.38,4.18,1.59,5.02,,2.41,3.57,1.62,2.69,1.91,0.9,4.56,2.84,3.72,2.7,1.89,4.31,3.08,2.74,0.67,3.9,2.48,1.82,,0.79,4.67,4.49,7.32,1.46,3.5,2.83,6.48,1.98,1.81,8.91,0.52,2.6,4.82,4.12,1.13,
November,,,0.71,2.75,1.72,2.37,1.91,0.76,2.2,3.7,3.53,2.34,4.05,,2.47,6.11,2.94,1.75,5.07,1.74,2.18,1.38,3.08,1.21,1.86,2.09,2.9,3.03,3.91,0.75,3.62,1.76,,3.34,0.53,2.2,1.23,2.03,3.26,1.52,2.76,3.57,1.29,2.11,2.35,4.71,3.45,1.7,1.57,
December,,,1.44,2.25,2.69,1.7,1.64,1.77,4.09,2.13,4.09,1.56,4.15,,4.19,1.58,5.76,1.71,4.06,1.46,3.99,2.77,4.73,2.31,1.37,1.37,3.68,3.84,0.9,1.56,1.6,2.79,,1.44,1.55,1.82,4.2,1.4,1.32,3.46,2.26,3.72,2.75,2.01,2.09,0.37,2.16,3.25,1.03,
