"SOMERTON THE GRANGE",,,,,,,,,,,,
Grid ref,ST349850,Long,-2.940480,Lat,51.560106,,,,,,,
Station no,2076,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.35,2.23,0.92,,,,,,,,,
February,4.04,0.88,1.63,,,,,,,,,
March,2.76,3.24,0.46,,,,,,,,,
April,3.23,1.61,2.83,,,,,,,,,
May,2.69,4.42,2.29,,,,,,,,,
June,1.91,2.18,2.90,,,,,,,,,
July,1.87,0.51,3.88,,,,,,,,,
August,4.69,5.22,2.60,,,,,,,,,
September,2.77,3.03,2.59,,,,,,,,,
October,0.94,3.49,2.59,,,,,,,,,
November,6.63,4.26,,,,,,,,,,
December,2.23,2.74,,,,,,,,,,
Total,36.11,33.81,,,,,,,,,,
Calc annual,36.11,33.81,22.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
