"SOMERTON (ERLEIGH)",,,,,,,,,,,,
Grid ref,ST501285,Long,-2.713315,Lat,51.053664,,,,,,,
Station no,2076,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.52,2.29,0.90,1.63,3.00,2.97,2.28,2.22,3.53,3.10,,
February,4.07,0.78,1.59,2.48,1.65,0.07,3.59,3.08,0.21,2.45,,
March,2.98,2.85,0.45,3.96,1.10,0.57,1.91,0.54,3.50,1.69,,
April,3.26,2.01,2.77,0.33,1.16,1.30,0.11,0.69,1.79,2.09,,
May,2.59,3.83,2.18,1.79,3.47,0.33,1.66,1.87,1.03,1.45,,
June,1.86,2.08,2.54,2.82,2.73,2.05,2.66,3.38,0.88,1.47,,
July,1.80,0.56,3.81,2.64,0.65,1.83,2.90,2.27,1.22,4.17,,
August,4.16,5.26,2.77,4.04,1.07,3.98,2.60,3.78,0.74,4.73,,
September,2.79,2.96,2.38,2.51,0.94,3.55,2.96,5.26,0.06,3.17,,
October,0.71,3.62,2.62,2.38,1.66,1.71,2.25,2.15,2.93,7.61,,
November,7.01,4.02,1.33,5.93,3.27,0.84,1.66,3.13,4.13,3.13,,
December,2.37,2.68,0.68,2.90,4.57,3.51,2.43,3.60,6.24,2.82,,
Total,36.12,32.94,24.02,33.41,25.27,22.71,27.01,31.97,26.26,37.88,,
Calc annual,36.12,32.94,24.02,33.41,25.27,22.71,27.01,31.97,26.26,37.88,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
