SOMERTON-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST498280,Long,-2.71638,Lat,51.04982,Elevation,106,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.43,3.68,1.69,3.69,2.25,3.07,3.42,3.51,1.14,3.94,2,1.95,2.16,1.85,0.5,3.63,4.48,2.41,5.12,2.29,2.88,3.12,5.7,1.42,1.99,2.17,2.42,4,0.45,0.34
February,,0.18,2.37,6.07,0.39,3.25,1.83,3.89,1.87,1.03,0.34,2.08,0.04,4.21,0.15,2.28,2.2,4.76,0.72,1.23,2.4,2.68,0.25,1.04,0.6,1.37,1.48,1.26,0.91,0.94,5.35
March,,1.47,2.49,1.73,1.14,0.59,0.68,2.89,1.12,0.32,1.74,1.21,2.22,2.62,1.88,0.69,3.18,3.77,0.15,0.96,1.95,2.34,1.77,0.75,0.12,0.67,0.61,5.74,0.91,1.41,0.8
April,,0.94,2.49,2.85,2.08,2.09,2.33,1.35,1.67,0.88,2.45,2.17,1.66,2.23,2.33,3.75,2.08,1.92,0.11,2.25,1.9,1.84,0.86,0.6,1.34,0.55,3.12,1.67,1.96,1.17,2.26
May,,1.54,0.76,1.29,4.04,3.46,2.16,1.46,1.18,1.56,1.59,2.86,5.36,1.7,0.89,1.07,1.26,2.06,1.44,0.4,2.57,1.25,5.41,1.68,1.74,2.89,4.28,2.69,3.53,2.69,1.73
June,,0.68,0.91,0.37,2.73,0.03,3.24,2.48,2.57,2.12,0.65,2.25,1.29,1.7,0.71,2.36,3.81,0.88,1.46,2.77,0.67,2.12,0.56,1.57,1.9,2.92,2.51,1.57,1.6,0.55,1.84
July,,0.36,3.01,0.87,3.11,2.57,4.71,3.07,1.77,1.42,1.57,4.19,3.14,2.25,0.89,0.27,5.56,4.2,2.75,3.39,2.5,2.76,1.2,2.64,2.21,2.15,1.23,2.01,1.39,1.4,4.63
August,,1.46,4.68,2.74,4.71,3.25,1.15,3.18,1.46,2.22,2.85,4.11,1.13,1.7,2.68,2.66,0.12,1.12,2.72,4.69,0.13,3.98,3.91,3.01,2.41,2.08,5.07,0.96,3.56,1.32,4.76
September,,1.35,1.58,2.63,4.18,3.5,1.49,4.95,1.22,0.36,2.82,1.52,3.65,1.56,2.32,2.91,3.41,3.3,1.8,0.95,1.48,0.94,2.21,3.41,1.75,2.34,3.7,1.34,1.45,1.93,
October,,0.86,1.07,5.27,5.67,2.42,3.93,2.05,5.65,4.31,2.32,0.4,5.88,2.71,2.14,3.68,1.37,3.51,2.45,3.28,3.39,1.19,2.91,3.68,4.82,3.04,0.79,0.8,2.93,6.23,
November,,1.81,1.34,1.91,2.73,2.02,6.64,2.78,2.72,6.63,4.12,3.55,2.15,0.68,1.15,6.01,2.34,1.7,3.39,4.73,5.9,1.77,1.25,2.36,4.82,1.38,4.27,1.58,1.53,3.62,
December,,1.75,3.61,2.72,3.45,2.78,0.5,2.99,2.15,5.32,3.04,1.24,1.52,0.69,6.2,4.28,2.08,2.55,3.42,1.88,2.97,1.1,3.72,2.14,2.64,3.79,2.94,2.31,4.27,1.52,
Total,,15.83,27.99,30.14,37.92,28.21,31.73,34.51,26.89,27.31,27.43,27.58,29.99,24.21,23.19,30.46,31.04,34.25,22.82,31.65,28.15,24.85,27.17,28.58,25.77,25.17,32.17,24.35,28.04,23.23,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Sept Gauge moved to Somerton Erleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown what gauge and where the 1951-53 data relates to as gauge had been moved so deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
