"BARGRENNAN (GLENCAIRD)",,,,,,,,,,,,
Grid ref,NX361789,Long,-4.568899,Lat,55.077411,,,,,,,
Station no,5013/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,8.16,3.12,4.34,,
February,,,,,,,,5.26,2.66,7.81,,
March,,,,,,,,1.46,4.80,2.06,,
April,,,,,,,,2.23,3.95,5.39,,
May,,,,,,,,3.07,1.54,2.63,,
June,,,,,,,,4.17,3.20,3.25,,
July,,,,,,,,4.35,4.95,5.77,,
August,,,,,,,,5.38,0.92,5.10,,
September,,,,,,,,5.99,2.30,4.66,,
October,,,,,,,,5.79,8.25,4.34,,
November,,,,,,,,3.13,6.91,8.84,,
December,,,,,,,,6.24,10.53,5.90,,
Total,,,,,,,,55.23,53.13,60.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.23,53.13,60.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
