ELGIN (NEWTON NURSERY),,,,,,,,,,,,
Grid ref,NJ164638,Long,-3.402614,Lat,57.656311,,,,,,,
Station no,5679/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,1.77,1.30,1.26,0.52,1.69,2.37,3.15,2.85,2.98,,
February,2.12,1.39,1.40,1.08,1.53,1.96,1.10,3.11,0.38,2.11,,
March,1.51,1.78,0.60,1.19,1.17,0.49,2.77,1.18,1.18,0.93,,
April,2.85,0.53,1.96,0.84,0.99,1.79,0.57,1.37,1.84,1.55,,
May,0.60,1.48,2.24,3.75,2.85,1.13,0.96,3.22,0.80,0.81,,
June,2.07,1.82,1.96,2.27,1.06,2.79,1.68,1.40,1.63,3.02,,
July,3.67,1.91,3.69,2.91,0.72,5.89,5.42,3.94,1.94,2.49,,
August,3.33,2.96,2.03,1.98,1.51,3.39,4.65,4.03,1.06,7.23,,
September,0.47,2.75,2.83,1.76,1.38,2.57,1.45,1.25,0.84,2.71,,
October,1.22,1.40,0.51,4.83,3.92,2.90,1.44,1.75,2.93,3.01,,
November,3.57,2.60,1.97,1.79,0.69,1.72,2.36,1.04,2.33,1.70,,
December,2.64,1.93,2.44,3.84,3.58,2.78,3.20,1.55,1.32,0.88,,
Total,26.27,22.32,22.93,27.50,19.92,29.10,27.97,26.99,19.10,29.42,,
Calc annual,26.27,22.32,22.93,27.50,19.92,29.10,27.97,26.99,19.10,29.42,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
