COLMONELL - observer Aitken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX149861,Long,-4.905219,Lat,55.134574,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,8.48,4.21,5.3,5.49,3.89,4.17,4.78,3.04,4.37,2.87,7.62,2,2.75,1.7,2.51,5.21,6,3.29,5.3,7.15,4.9,2.98,4.9,2.5,4.79,
February,,,,,6.35,4.82,1.99,1.9,2.29,3.5,1.29,0.39,2.01,3.14,5.97,1.93,2.6,2.63,6.39,2.97,4.4,3.19,1.82,3.35,3.8,3.95,2.83,2.6,4.08,
March,,,,,5.26,4.31,3.48,1.63,1.79,2.89,2.84,3.06,0.88,2.51,1.96,4.16,5.03,6.32,1.4,2.91,0.37,1.6,3.55,5.65,2.5,4.16,2.62,3.4,5.58,
April,,,,,1.5,3.62,1.97,3.35,2.06,2.42,0.99,2.61,0.9,1.01,1.7,2.89,2.09,3.12,3.5,4.29,3.11,4.39,1.94,1.1,2.71,2.63,1.81,3.19,1.8,
May,,,,,3.65,1.76,3.31,2.57,4.02,3.08,2.95,2.09,4.01,1.92,2.61,0.42,0.7,1.4,3.19,3.09,4.01,2.29,3,3.2,2.28,0.89,4.89,3.71,1.85,
June,,,,,0.7,0.92,1.1,1,2.92,0.83,4.76,0.99,4.4,2.02,2.6,1.23,4.28,5.22,2.99,1.76,1.38,2.62,1.65,1.99,1.92,1.76,1.7,5.12,2.87,
July,,,,,4.03,1.83,3.01,3.69,4.09,3.03,3.79,1.62,3.29,3.9,2.79,4.18,7.09,1.89,1.09,3.68,2.95,0.92,3.06,3.49,3.2,1.79,2.63,2.72,2.97,
August,,,,,2.4,2.63,2.58,2.52,4.49,5.33,3.22,6.72,5.92,4.29,3.09,5.08,3.03,6.21,4.52,1.68,4.11,6.31,2.91,4.72,5.81,5,3.48,4.88,3.54,
September,,,,,4.81,6.9,5.05,5.2,2.24,3.01,5.13,4.41,4.32,3.4,0.21,0.6,4.89,3.9,3.92,6.3,3.71,4.61,4.5,3.46,4.49,2.9,1.26,1.22,4.84,
October,,,,,4.42,5.7,4.24,2.87,1.84,4.29,2.53,8.98,4.94,7.27,5.14,4.84,3.51,2.6,2.34,3.47,6.11,5.64,2.21,9.01,2.59,4.89,7.52,6.91,1.7,
November,,,,,4,3.2,5.01,2.98,6.42,3.15,10.21,5.76,5.9,3.35,4.94,5.69,2.55,4.34,5.51,5.99,4.62,4.82,4.9,4.92,5.3,6.68,3.3,5.86,4.78,
December,,,,,5.4,3,7.04,5.5,4.59,5.29,1.83,6.56,2.76,5.61,5.09,5.11,7.22,6.97,4.52,5.3,6.01,6.89,6.6,4.9,3.72,3.81,7.1,5.17,5.35,
Total,,,,,51,42.9,44.08,38.7,40.64,40.99,44.32,46.23,43.7,41.29,43.72,38.13,45.74,46.3,41.88,46.65,46.78,46.57,41.44,52.94,43.22,41.44,44.04,47.28,44.15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 - all crossed out on record but partly transcribed. Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end Dec 1893 gauge moved 500yards NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899 Total classed as estimated but all months considered ok.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Aitken, observer, retired farmer living on Main Street, Colmonell in 1891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
