"BALDERSDALE (BLACKTON RES.)",,,,,,,,,,,,
Grid ref,NY930182,Long,-2.109755,Lat,54.558987,,,,,,,
Station no,3491,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.65,4.50,1.25,3.40,3.20,4.30,5.10,3.20,3.20,5.75,,
February,4.75,1.50,2.10,2.60,2.30,2.30,3.50,6.50,0.70,3.68,,
March,4.70,1.80,0.60,2.50,2.10,2.50,2.20,2.70,1.90,3.25,,
April,3.55,2.10,2.90,0.80,0.95,1.10,0.50,1.80,3.40,2.65,,
May,3.20,2.10,2.50,4.50,3.10,1.50,2.50,5.10,0.45,1.82,,
June,1.10,1.70,2.10,3.80,2.00,2.30,1.50,3.60,2.10,1.35,,
July,1.40,2.00,3.65,3.50,1.40,3.70,4.60,3.40,2.40,5.04,,
August,3.20,4.50,5.20,5.60,1.42,7.70,7.00,4.10,0.89,2.98,,
September,2.10,3.50,3.10,5.70,2.16,4.70,4.00,4.20,1.12,3.05,,
October,1.10,3.50,1.80,8.10,2.15,3.50,4.40,3.10,3.60,7.62,,
November,9.20,2.50,4.10,7.40,1.96,1.80,2.60,0.90,5.20,7.12,,
December,10.00,3.20,1.50,5.10,8.70,5.50,4.43,5.40,7.00,7.12,,
Total,47.95,32.90,30.80,53.00,31.44,40.90,42.33,44.00,31.96,51.43,,
Calc annual,47.95,32.90,30.80,53.00,31.44,40.90,42.33,44.00,31.96,51.43,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
