DOLGELLEY-BORTHWNOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH686190,Long,-3.9483398,Lat,52.75259,Elevation,5,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4342/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,
January,,,,,,,4.86,,,,,,,,,3.45,7.37,6.46,6.54,7.33,3.75,1.93,7.6,8.24,6.06,4.96,6.25,6.61,11.71,3.68,1.59,4.65,7.14,,7.19,,,,,,,
February,,,,,,,3.78,,,,,,,,,6.67,2.87,8.51,2.79,5.4,5.61,5.17,2.94,4.88,3.01,6.19,5.86,1.51,3.3,2.87,7.09,6.73,4.42,,5.14,,,,,,,
March,,,,,,,1.93,,,,,,,,,2.13,3.76,2.83,3.19,3.37,3.74,4.6,3.14,1.51,1.27,2.21,1.19,8.36,3.09,4.16,2.78,8.41,3.42,,4.64,,,,,,,
April,,,,,,,1.89,,,,,,,,,6.17,1.99,4.86,0.85,2.99,3.36,2.6,2.84,3.13,3.94,2.6,1.75,4.57,2.08,5.77,5.55,3.61,2.85,,2.02,,,,,,,
May,,,,,,,2.98,,,,,,,,,2.16,2.25,2.67,2.36,1.09,1.81,4.44,4.67,5.07,4.62,4.23,2.05,4.73,2.15,4.19,0.7,2.23,3.34,,3.12,,,,,,,
June,,,,,,,3.33,,,,,,,,,7.54,5.85,3.23,7.12,3.2,0.71,1.07,1.07,4.89,3.84,5.6,5.1,2.94,8.43,0.85,4.08,1.13,4.36,,5.26,,,,,,,
July,,,,,,,5.59,,,,,,,,,1.47,9.15,3.28,6.73,8.96,6.69,3.92,7.26,4.14,4.91,3.03,5.1,5.22,4.11,2.24,4.34,2.6,3.12,,9.1,,,,,,,
August,,,,,,,4.73,,,,,,,,,3.42,2.1,1.15,5.19,3.94,1.98,6.59,5.19,5.52,4.13,4.12,6.86,0.85,5.91,3.59,11.18,6.89,4.62,,7.95,,,,,,,
September,,,,,,,2.97,,,,,,,,,7.77,7.05,3.61,2.91,1.44,5.36,1.34,4.41,6.2,6.32,3.72,7.03,3.05,5.18,3.23,12.75,6.17,3.95,,5.53,,,,,,,
October,,,,,,,4.12,,,,,,,,,9.45,4.4,3.35,6.97,2.52,5.5,6.88,7.16,5.64,7.38,3.77,1.84,0.49,5.11,9.01,5.1,1.87,7.87,,12.85,,,,,,,
November,,,,,,,6.85,,,,,,,,,7.37,9.35,2.2,7.17,9.59,9.41,4.06,1.12,4.95,9.02,0.94,7.36,4.91,5.59,6.64,5.66,10.03,5.12,,12.87,,,,,,,
December,,,,,,,1.56,,,,,,,,,3.79,7.95,3.72,6.45,4.94,6.21,3.91,7.47,2.77,5.79,7.56,7.05,5.67,7.51,7.08,5.08,10.84,6.34,,8.66,,,,,,,
Total,,,,,,,44.59,,,,,,,,,61.39,64.09,45.87,58.27,54.77,54.13,46.51,54.87,56.94,60.29,48.93,57.44,48.91,64.17,53.31,65.9,65.16,56.55,,84.33,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Borthwnog. Altitude appears low but the house is on the river front close to the sea and the gauge was washed away in 1928.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1910s, the longer 1920s and the 1930 to 1934 readings are noted as being calculated from an adjacent location Dollgelly Bryntirion.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
