TIVIDALE-SEWAGE-DISPOSAL-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO973910,Long,-2.0412184,Lat,52.516877,Elevation,432,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2326/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.93,3.26,3.2,2.88,5.5,2.96,4.03,3.79,5.3,2.52,1.57,2.38,2.14,4.59,1.52,0.67,2.64,2.5,1.11,1.21,2.23,2.93,1.1,2.06,2.86,5.62
February,,,,,2.59,2.67,3.77,0.77,1.27,2.22,2.45,1.04,1.65,1.6,2.04,2.57,2.32,1.73,0.65,4.47,2.82,0.43,1.36,2.15,1.83,0.44,2.47,4.41,0.24,1.94
March,,,,,0.64,2,2.34,0.49,1.44,1.76,2.45,1.86,0.9,0.44,0.98,0.81,5.22,1.13,1.6,0.94,5.29,2.07,1.44,2.3,3.23,1.14,2.39,1.29,2.1,1.71
April,,,,,3.71,2.23,2.95,0.15,1.96,4.05,1.52,1.79,0.91,1.61,1.17,1.99,2.17,1.98,2.18,1.78,2.44,2.32,2.77,0.48,1.44,1.42,0.2,0.74,3.23,1.61
May,,,,1.04,1.18,1.16,2.11,2.1,1.19,2.55,3.32,3.77,3.63,0.62,3.09,3.39,2.56,2.01,1.87,1.78,3.14,3.45,1.98,2.48,4.41,0.63,1.42,2.05,0.98,1.3
June,,,,0.83,3,3.06,0.69,1.86,1.57,0.62,1.07,0.63,1.59,1.7,3.04,2.79,1.6,3.77,0.33,3.01,1.27,1.87,2.32,3,2.33,1.81,1.2,4.15,0.8,2.51
July,,,,1.06,0.36,8.41,2.55,3.31,5.04,2.67,3.14,1.82,1.16,2.58,1.89,1.71,4.65,1.83,2.16,2.35,1.03,1.47,3.73,3.82,0.45,2.41,4.42,4.51,2.21,3.38
August,,,,2.32,2.16,0.61,0.93,3.27,2.17,0.25,5.01,2.82,1.67,1.93,1.61,5.96,0.96,4.19,2.06,2.7,4.78,3.79,2.55,4.76,0.8,5.23,4.18,2.34,2.98,4.2
September,,,,2.32,4.18,3.43,2.79,1.93,1.45,0.83,0.65,1.67,2.39,2.79,1.41,3.35,1.72,3.12,1.3,5.15,3.69,1.46,2.72,1.86,1.63,2.91,4.1,4.87,0.25,5.74
October,,,,1.74,3.82,1.53,2.29,2.58,3.82,3.54,2.73,2.54,1.83,3.16,3.7,0.69,0.37,2.92,5.49,0.83,0.75,4.24,1.9,3.4,1.64,1.7,1.73,2.22,2.87,5.33
November,,,,2.13,5.56,2.6,1.43,3.25,5.43,6.45,3.1,1.37,1.73,4.61,0.71,5.6,1.9,1.58,3.21,4.51,7.34,2.43,1.83,5.24,2.93,0.74,2.14,1.95,3.8,4.18
December,,,,4.24,3.19,2.22,2.37,3.71,1.56,1.94,1.86,2.9,1.27,1.79,2.88,2.88,2.51,4.33,1.4,1.83,2.59,3.02,1.33,2.31,2.29,2.95,1.97,3.02,4.08,2.77
Total,,,,,31.32,33.18,27.42,26.3,32.4,29.84,31.33,26,24.03,25.35,24.09,34.12,28.12,33.18,23.77,30.02,37.78,29.05,25.04,33.01,25.21,24.31,27.32,33.61,26.4,40.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 2995 TIVIDALE S WKS Start 1934 end 1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Tividale Sewage Works. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
