"TIVIDALE (SEWAGE DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,SO973910,Long,-2.041218,Lat,52.516877,,,,,,,
Station no,2326/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.64,2.50,1.11,1.21,2.23,2.93,1.10,2.06,2.86,5.62,,
February,2.82,0.43,1.36,2.15,1.83,0.44,2.47,4.41,0.24,1.94,,
March,5.29,2.07,1.44,2.30,3.23,1.14,2.39,1.29,2.10,1.71,,
April,2.44,2.32,2.77,0.48,1.44,1.42,0.20,0.74,3.23,1.61,,
May,3.14,3.45,1.98,2.48,4.41,0.63,1.42,2.05,0.98,1.30,,
June,1.27,1.87,2.32,3.00,2.33,1.81,1.20,4.15,0.80,2.51,,
July,1.03,1.47,3.73,3.82,0.45,2.41,4.42,4.51,2.21,3.38,,
August,4.78,3.79,2.55,4.76,0.80,5.23,4.18,2.34,2.98,4.20,,
September,3.69,1.46,2.72,1.86,1.63,2.91,4.10,4.87,0.25,5.74,,
October,0.75,4.24,1.90,3.40,1.64,1.70,1.73,2.22,2.87,5.33,,
November,7.34,2.43,1.83,5.24,2.93,0.74,2.14,1.95,3.80,4.18,,
December,2.59,3.02,1.33,2.31,2.29,2.95,1.97,3.02,4.08,2.77,,
Total,37.78,29.05,25.04,33.01,25.21,24.31,27.32,33.61,26.40,40.29,,
Calc annual,37.78,29.05,25.04,33.01,25.21,24.31,27.32,33.61,26.40,40.29,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
