ARBROATH,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 641 404,Long,-2.586323,Lat,56.554572,Elevation,6,ft,,,,,,,,,,,,
Station no,RR2224,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,1.45,2.35,1.39,1.96,1.48,1.76,1.3,1.43,2.11,1.04,3.18,4.4,,,,,,,
February,,2.65,1.19,1.31,1.59,1.65,0.72,0.24,4.19,0.43,1.16,0.2,1.07,,,,,,,
March,,1.13,2.2,0.88,1.48,1,0.58,0.44,1.92,0.38,0.09,2.82,0.21,,,,,,,
April,,0.72,0.02,3.05,0.24,0.72,2.21,0.83,0.69,0.97,1.31,1.92,0.07,,,,,,,
May,,0.63,1.79,1.88,0.44,1.03,1.32,3.69,0.2,1.53,1.55,0.28,,,,,,,,
June,,0.98,1.24,1.63,3.08,2.77,0.92,1.35,4.26,1.41,1.06,1.43,,,,,,,,
July,11.23,2.4,1.91,4.69,2.6,2.67,3.45,1.78,3.27,2.58,1.12,2.33,,,,,,,,
August,7.58,3.46,1.59,1.94,2.46,2.6,1.68,0.68,0.39,1.1,2.44,1.84,,,,,,,,
September,1.09,3.8,2.78,0.39,2.04,2.05,2.3,0.43,0.62,0.98,1.14,1,,,,,,,,
October,4.25,0.08,1.23,3.08,0.75,3.76,5.63,2.49,3.78,0.47,1,0.84,,,,,,,,
November,1.73,1.77,3.14,2.38,3.26,1.83,1.93,1.38,2.55,1.6,1.83,0.97,,,,,,,,
December,0.98,2.27,1.38,0.22,0.92,0.95,1.01,4.22,0.4,2.1,0.45,0.41,,,,,,,,
Total,,21.34,20.82,22.84,20.82,22.51,23.51,18.83,23.7,15.66,14.19,17.22,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Confidence Low,,,,,,,,,,,,,,,,,,,,
Based on Board of Northern,,,,,,,,,,,,,,,,,,,,
Lights,,,,,,,,,,,,,,,,,,,,
see Rainfall Investigations,,,,,,,,,,,,,,,,,,,,
1677-1865,,,,,,,,,,,,,,,,,,,,
