FERRYBRIDGE HOLMFIELD HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE468247,Long,-1.2917,Lat,53.7169,Elevation,30,ft,,,,,,,,,,,,
Station no,RR1451,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,0.86,3.95,1.87,1.59,3.46,0.98,1.24,2.01,2.21,2.7,1.48,1.31,1.74,2.18,,,
February,,,,2.7,0.75,2.72,2.12,3.06,3.36,2,1.8,1.28,0.76,3.25,2.22,0.73,0.47,,,
March,,,,1.36,1.49,1.7,3.3,0.95,1.41,3.1,0.18,0.77,3.48,0.95,2.27,1.88,0.93,,,
April,,,,2.77,1.96,1.1,1.52,2.04,1.62,0.48,1.46,0.94,1.51,2.19,0.27,1.54,5.97,,,
May,,,,0.49,0.68,2.58,0.98,1.61,3.22,0.42,3.71,2.98,2.98,2.81,0.42,2.24,0.82,,,
June,,,,3.1,2,2.34,2.71,1.47,2.55,4.66,1.94,3.65,1.94,2.31,1.24,3.18,1.65,,,
July,,,,1.07,6.93,0.62,2.29,2.58,1.81,5.3,2.81,4.43,3.74,2.7,2.76,3.49,2.9,,,
August,,,,4.42,2.09,1.59,0.66,1.41,2.66,2.48,2.15,2.69,1.49,3.99,2.85,4.61,2.65,,,
September,,,,1.52,1.85,2.43,2.07,2.05,1.38,3.29,2.76,3.99,2.44,1.07,1.92,1.36,1.07,,,
October,,,,2.68,0.3,2.49,1.8,2.1,3.32,3.5,0.9,4.5,1.12,1.1,1.41,3.36,4.09,,,
November,,,,1.38,1.12,2.01,4.75,1.61,2.11,4.61,4.48,2.84,3.19,2.36,1.98,1.01,1.15,,,
December,,,,2.39,1.12,0.11,1.79,2.87,0.6,1.72,0.53,1.34,0.76,0.28,0.35,3.04,1.36,,,
Total,,,,24.74,24.24,21.56,25.58,25.21,25.02,32.8,24.73,31.62,26.11,24.49,19,28.18,25.24,,,
,,,,,,,,,,,,,,,,,,,,
"NGR the lowest of two houses called Holmfield at 50' also fits with observer, C Charnock, living at Holmefield House, Ferry Fryston in 1841 census",,,,,,,,,,,,,,,,,,,,
"Long/Lat given on record is at Darrington, a few miles south of Ferrybridge but no house named Holmfield",,,,,,,,,,,,,,,,,,,,
