COMPTON HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU776148,Long,-0.8972192,Lat,50.927444,Elevation,263,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.53,1.88,3.38,3.29,2.01,4.71,3.17,1.79,1.51,4.26,3.51,1.45,2.1,6.06,3.07,1.94,3.06,0.79,4.08,4.77,1.56,1.44,2.74,5.53,1.39,9.13,1.18,1.53,1.25,3.41,1.65,4.21,6.48,0.68,5.68,1.79,1.8,4.48,7.61,4.77,4.81,5.89,1.95,3.86,5.62,6.36,2.87,7.22,1.5,5.58,3.44,4.28,2.81,2.68,0.97,6.29,7.56,4.93,6.69,3.47,3.58,4.96,7.46,2.98,2.23,4.08,3.73,7.54,1.44,1.42,5.01,3.09,1.43,2.2,4.22,5.55,3.72,5.21,4.52,4.71
February,,3,1.57,4.87,2.68,4.81,0.8,1.16,1.3,2.71,1.21,0.09,1.33,3.94,2.32,0.19,0.73,4.16,1.94,3.26,6.01,1.73,2.45,2,4.43,0.7,4.2,1.91,1.64,0.44,4.72,2.43,3.67,1.65,5.85,6.47,5.13,1.25,2.03,3.45,0.9,0.38,4.1,6.56,0.75,6.26,2.59,5.1,2.61,1.63,1.38,2.55,0.37,4.58,0.05,4.46,3.05,6.43,0.54,1.99,4.91,4.55,0.63,1.81,0.99,3.01,3.9,2.27,1.85,1.79,6.69,6.68,0.94,2.03,3.87,2.4,0.26,6.1,3.25,0.12,3.97
March,,3.71,1.84,1.04,3.16,2.91,3,1.16,4.79,2.69,1.77,3.9,1.2,0.82,1.95,2.54,4.66,5.09,0.91,0.89,1.18,2.82,2.3,4.1,1.31,5.24,1.78,1.09,3.42,5.56,1.55,2.52,4.93,4,6.01,1.07,3.63,3.33,1.62,6.67,2.87,1.85,2.6,2.54,2.09,0.63,0.78,3.6,2.83,0.15,1.6,1.09,1.71,4.03,3.22,1.01,2.97,4.04,0.63,1.63,4.26,4.26,3.5,0.86,0.34,1.31,1.44,8.2,1.14,1.97,2.57,5.92,3.67,0.55,4.11,1.66,0.59,2.53,1.83,3.19,2.64
April,,0.86,3.67,1.91,1.32,1.19,2.51,1.79,1.73,2.31,2.93,1.06,1.27,0.08,2.45,2.94,0.6,3.16,1.3,2.98,1.72,3.22,1.2,2.72,1.78,2.16,0.74,4.74,2.72,1.61,2.53,1.65,0.06,3.73,1.68,1.54,1.22,2.56,2.62,2.88,4.02,1.15,4.59,4.07,3.41,3.39,3.04,2.54,2.39,0.83,2.53,3.46,3.48,1.45,2.35,4.41,2.83,3.63,0.07,2.77,1.2,2.01,1.84,1.37,1.91,1.36,2.71,2.95,2.14,2.23,2.88,3.59,2.43,2.41,0.38,0.65,2.54,0.14,0.82,3.11,1.05
May,,1.6,2.14,2.38,1.02,4.51,3.62,1.48,2.26,5.18,2.15,2.08,1.07,0.87,1.34,0.51,0.73,1.34,3.71,1.05,1.37,1.19,2.36,3.29,4.09,0.48,2.9,2.05,2.21,2.39,2.31,3.38,1.76,3.42,1.57,3.76,2.25,2.36,1.85,0.56,1.64,2.07,1.58,3.44,4.06,5.35,3.25,1.51,1.76,3.81,2.23,2.78,4.76,3.22,0.66,1.19,0.4,2.54,2.35,1.63,1.76,3.06,3.5,3.51,1.72,2.43,4.05,1.51,3.51,2.34,1.45,2.8,3.2,3.24,3.05,4.66,0.37,1.61,3.38,0.34,1.43
June,,2.35,3.97,2.96,1.45,2.7,1.07,1.58,3.74,1.03,4.05,1.97,2.41,1.72,2.26,0.81,4.25,2.86,2.54,1.39,3.67,3.26,3.74,2.95,1.02,4.19,1.6,3.46,1.51,3.29,3.47,2.29,4.12,0.77,1.04,1.86,3.09,3.67,1.06,0.74,2.17,0.08,1.74,0.55,4.04,0.02,2.91,4.43,3.16,1.7,0.57,2.16,1.99,2.09,1.92,3.96,3.17,1.01,0.77,2.12,0.25,1.6,0.32,1.5,2.53,3.25,5.13,2.45,3.17,0.81,2.04,3,1.78,2.3,3.82,3.09,3.23,1.81,3.37,0.89,2.93
July,5.5,2.23,4.17,3.05,3,0.73,3.97,1.37,6.32,2.93,5.19,3.63,2.82,4.05,5.39,5.59,1.24,0.37,0.5,2.65,1.43,2.65,1.47,3.76,1.82,0.44,0.52,2.14,3.3,3.84,3.03,0.93,2.83,2.85,3.66,5.34,1.01,2.96,5.26,2.16,6.5,0.4,4.31,1.24,5,3.8,2.64,3.93,1.96,2.1,2.8,3.59,5.35,2.97,1.49,1.5,5.64,1.73,2.48,3.72,4.98,3.12,2.26,2.33,3.04,5.84,2.42,1.59,1.83,0.31,4.22,2.33,0.64,5.25,4.13,0.8,3.21,4.45,2.09,2.64,5.27
August,1.73,6.35,1.88,1.88,1.09,0.73,1.7,2.3,3.78,2.96,3.43,7.85,4.11,1.09,2.36,3.63,1.48,5.67,1.69,1.23,3.36,2.5,4.63,6.26,2.84,3.28,1.91,2.01,3.61,2.95,4.08,0.85,8.53,2.06,2.47,1.63,3.46,6.47,2.39,3.37,1.46,2.71,3.09,3.52,3.5,5.28,1.6,4.79,2.51,2.31,4.17,4.05,1.37,1.17,3.68,3.44,0.91,1.77,2.16,2.58,0.02,5.28,5.07,1.89,2.13,3.19,7.3,0.54,4.79,1.77,3.92,7.94,2.9,2.47,3.31,1.5,6.76,3.59,5.51,4,4.8
September,5.58,3.52,3.31,4.34,3.64,5.69,1.89,4.66,1.23,1.05,1.14,2.18,3.79,2.43,3.14,0.54,9.54,3.11,2.1,3.64,1.24,2.79,1.08,4.2,2.03,2.95,1.69,0.59,3.04,4.2,0.19,1.58,3.74,2.6,2,2.77,2.65,2.01,6.91,1.79,2.23,0.94,2.27,2.51,6.28,3.07,0.54,7.18,1.26,0.86,2.88,3.04,3.63,2.88,3.07,4.7,3.24,2.19,1.91,0.98,1.7,0.32,2.88,2.48,2.57,2.7,5.08,2.15,3.76,2.71,4.63,3.39,4.43,3.16,4.3,2.51,4.71,3.85,5.16,0.15,4.67
October,6.73,2.27,9.22,2.99,1.08,4.69,5.13,1.52,2.29,7.64,1.59,8.77,4.96,5.8,5.34,3.89,3.95,0.55,4.32,3.87,2.83,2.99,2.86,10.24,3.51,1.52,5.79,8.42,3.58,10.77,4.84,5.95,4.31,5.81,2.81,4.24,6.13,5.11,1.83,0.58,3.75,0.66,1.21,7.47,5.17,4.41,2.87,3.5,9.5,4.67,2.48,0.75,7.98,2.23,2.34,5.28,1.59,4.02,5.34,6.32,4.81,1.52,4.59,3.9,4.92,5.05,1.11,1.13,2.94,9.67,0.84,1.54,6.68,4.21,3.62,3.93,1.88,2.6,2.96,3.59,7.92
