SHAFTESBURY-ST-MARGARETS-MARSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST821190,Long,-2.256298,Lat,50.970135,Elevation,184,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1628/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,6.5,2.5,2.92,4.02,6.26,1.73,1.97,2.34,3.18,5.44,0.53,0.53,2.54,2.05,0.6,1.22,2.72,4.03,1.88,2.38,3.85,2.9
February,,,,,,,,,1.9,3.1,3.19,0.46,1.09,0.69,1.57,2.41,1.77,1.18,1.27,5.81,5.31,0.79,1.64,2.73,1.59,0.66,3.34,3.07,0.32,2.86
March,,,,,,,,,1.07,2.52,2.73,2.65,0.7,0.37,0.76,0.83,8.41,0.93,1.45,1.1,3.39,3.11,0.59,3.25,1.4,0.98,2.05,1.1,4.01,1.73
April,,,,,,,,,2.06,1.46,1.41,1.39,0.6,1.7,0.61,3.11,1.65,1.79,1.45,3.02,2.6,1.74,2.34,0.12,0.77,1,0.22,0.61,2.05,1.76
May,,,,,,,,,0.8,1.59,1.7,3.02,2.28,0.49,3.28,4.12,1.99,3.97,1.85,1.8,2.59,3.25,1.95,1.63,3.42,0.32,1.84,1.78,1.45,1.73
June,,,,,,,,,2.48,0.42,2.32,0.3,1.52,1.54,2.97,3.42,1.53,2.03,0.49,1.68,0.56,1.4,2.53,3.39,1.68,2.14,2.09,4.87,0.6,2.23
July,,,,,,,,,5.43,2.86,1.48,1.24,2.04,2.89,0.88,1.35,1.27,1.31,0.77,4.77,1.89,0.71,3.66,2.62,1.07,2.43,3.78,1.53,1.16,3.73
August,,,,,,,,,4.08,0.18,3.67,2.91,2.01,2.71,2.17,4.43,0.38,6.87,1.25,4.01,4.63,,2.64,2.42,0.22,3.85,2.94,3.97,1.73,4.28
September,,,,,,,,,1.14,1.64,0.75,2.04,2.23,1.38,3.28,5.34,1.25,1.97,3.24,4.3,2.92,3.17,2.59,2.54,1.08,3.91,2.46,4.84,0.32,4.42
October,,,,,,,,,3.97,4.07,1.2,3.12,4.74,3.85,3.5,0.81,0.83,2.67,5.75,1.2,0.78,3.44,3.79,2.36,2.69,1.91,2.31,3.11,3.37,8.42
November,,,,,,,,,5.5,7.63,2.17,1.9,1.94,5.45,0.71,4.92,1.5,1.91,3.95,5.47,9.02,,1.9,5.81,3.03,0.85,2.08,2.29,3.77,4
December,,,,,,,,,1.6,2.83,1.4,4.82,2.66,2.17,3.87,3.5,3.28,4.56,1.44,2.47,2.77,2.56,0.59,3.03,4.37,4.33,3.05,4.11,8.3,3.18
Total,,,,,,,,,36.53,30.8,24.94,27.87,28.07,24.97,25.57,36.58,27.04,34.63,23.44,36.16,39,,24.82,31.12,24.04,26.41,28.04,33.66,30.93,41.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown NGR taken from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Not printed Too much estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Print with query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
