"MANSFIELD, AYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS295714,Long,-4.729002,Lat,55.905416,Elevation,,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876
January,,,4.5,5.9,4.7,5.9,5.6,3.4,3.2,7.7,2.4,8.3,7.8,7.9,5,0.6,2,4.9,3.4,4.6,4.9,4.3,7.2,8.5,4.2,5.2,9,3.7,6.1,5.6,5.8,3.3,8,7.1,5.3,10.8,3.3
February,,,4.4,1.9,5.9,2.7,3.2,1.7,9.2,3.7,8.5,3.2,6.3,2.1,3.8,0.2,5.6,3.1,1.6,3.6,4.1,3.1,2,2.9,4.2,3,5.3,3.6,5.9,5.4,4.9,7.5,6,1.1,1.4,2.1,4.5
March,,,5.6,2.8,4.9,3.3,5,1.6,3.5,1.4,2,5.8,0.7,0.8,2.8,3.9,1.6,3.5,1.4,6.1,4.6,6.6,3.2,2.2,3.9,2.4,3.9,2.7,6.4,1.4,1,4.5,4.1,2,1.2,1.8,5.3
April,,,0,4.6,2.6,2.1,2.3,3.3,1.3,2.2,4,1.5,1.5,2.2,0.7,2.2,3.1,3,7.2,5.2,1.9,0.5,3.7,3.7,3.3,0.7,1.9,7.3,3.5,2.6,1.9,3.3,1.4,0.3,2.7,2,2.1
May,,,2.4,3,0.1,1,1.8,3.3,2.1,3.4,2.1,1.4,2.6,0.8,3.8,2,2.9,1.9,6,0.2,2.9,1.6,5,3.6,2.2,2.7,1.7,3.4,2.3,0.7,5,0.7,2.8,2.6,1.8,2.9,1.1
June,,,2.6,1.8,4.6,5.2,5.1,3,4.2,2.6,2.2,3.7,3.6,3.2,4.5,3.3,6.1,2.2,4.7,2.3,4.1,3.3,3.7,4,2.9,1,2.6,2.1,1.7,1.9,1.9,1.9,7.5,2.3,1,3.4,3.5
July,,,2.9,4.9,3.9,5.9,8.2,2.2,5.8,4.5,3.4,4.1,4.6,6.3,3.4,2,2.9,3,2.1,3,2.3,3.5,6.1,4,3,2.8,2.7,2.9,1.3,3,2.6,3.4,4.5,6.1,2.6,2.1,3.4
August,,,3,3.9,2.1,2.7,4.6,2.7,4,3.1,5.1,4.6,3.9,2.7,2.2,4.8,3.6,2,1.1,4.6,4.4,11.2,4.1,4.3,2.3,7.2,6.2,4.4,6,1.2,2.3,3.4,3.4,5.2,5,4.9,5.3
September,,,3.1,2.7,2,4.4,3.5,5,2.2,2,2.4,2,1.3,3.7,2.7,2,2.5,3.4,3.1,6.1,2.5,5.5,3.1,6.4,5.6,1.9,5.6,3.5,2.3,8.4,3.9,2.6,7.9,5,5.1,8.9,3.5
October,,,1.8,11.4,3.3,7,6.1,5.7,4.4,3.8,3.2,3.8,1.6,7,5.4,6,2.5,3.5,5.5,4,5.5,4.9,6.9,4.1,2.6,4.7,4.3,4.9,5.6,2,5.6,3.8,4.5,5.9,8.3,7.6,5.5
November,,,4.1,5.9,3.2,5.9,5.2,5.2,6,7.7,5.4,1.5,8.4,3.7,3.1,1.2,2.3,3.7,1.3,2.9,4.5,7.2,2.2,4,5.5,3.6,5,1.6,4.2,6.8,2.8,4,8,4,5.6,5.5,
December,,,6.8,3.2,0.1,4.8,1.4,6.3,4.9,2.9,3.6,2.5,12.9,2.3,6.8,3.5,6.5,4.4,5.3,4.6,2.9,4.1,7.5,6.4,3.1,4.6,6.5,3.9,7.2,7.2,3.1,4.4,7.2,3,2.5,4.5,
Total,,,41.2,52,37.4,50.9,52,43.4,50.8,45,44.3,42.4,55.2,42.7,44.2,31.7,41.6,38.6,42.7,47.2,44.6,55.8,54.7,54.1,42.8,39.8,54.7,44,52.5,46.2,40.8,42.8,65.3,44.6,42.5,56.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Location given is same as Greenock Mansfield, but unclear whether it is the same site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
