GREENOCK WW MANSFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS295714,Long,-4.729002,Lat,55.905416,Elevation,573,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,8.13,10.76,6.48,12.71,8.26,2.03,5.01,0.7,8.34,9.49,11.61,6.56,6.63,6.25,6.46,7.15,9.54,5.92,6.06,3.4,9.79,1.55,4.37,2.15,6.17,10.25,9.36,4.61,6.31,10.41,6.46,4.65,8.48,4.01,7.83,8.65,7.77,11.83,7.03,6.02,5.61,5.6,9.59,3.26,6.14,5.41,8.63,14.23,7.68,10.5,7.25,7.35,10.87,11.46,13.99,2.26,9.69,6.9,11.85,8.36,11.51,3.12,7.22,10.15,10.98,5.93,4.25,1.27,10.37,8.26,8.12,3.99,10.64,9.16,10.08,8.63,5.82,6.86,6.84,3.87,8.51,5.23,4.24,9.08,7.48,2.33,4.88
February,,,,,2.18,2.67,6.91,7.8,4.2,2.64,7.55,5.1,6.83,9.63,9.73,8.37,2.53,5.88,1.75,4.59,2.12,1.94,2.64,6.52,13.04,0.64,3.86,5.62,7.15,4.16,4.06,2.23,2.08,11.33,5.5,5.08,4.32,5.36,4.37,4.31,9.19,11.11,6.01,3.98,8.1,8.78,6.96,1.51,10.74,1.92,10.34,3.04,8.48,7.3,2.02,4.23,7.51,3.84,6.66,2.7,0.81,6.15,0.04,4.97,1.4,8.7,4.5,6.71,3.97,9.56,3.11,6.17,2.11,7.56,2.34,9.72,4.01,1.71,7.51,7.74,6.89,4.02,2.54,3.63,7.64,4.52,2.02,5.39,4.28,2.09,6.21
March,,,,,5.37,2.53,7.59,3.59,3.32,7.43,4.73,7.7,7.08,3.37,3.69,5.49,4.7,2.54,4.7,3.56,5.84,4.54,1.24,2.67,5.7,5.45,8.28,7.92,2.7,4.96,0.43,3.24,5.12,12.79,3.47,6.76,5.33,5.58,6.56,2.83,4.73,3.79,8.16,7.89,7.87,3.76,1.87,3.73,2.47,3.84,6.83,11.79,2.67,3.35,0.98,3.26,9.83,5.64,6.24,1.17,4.56,1.78,2.63,4.49,3.51,2.72,4.75,1.93,7.12,4.95,6.3,3.03,5.7,3.36,1.19,4.49,3.43,5.34,7.64,2.91,3.91,4.32,5.04,2.06,5.81,3,3.36,6.22,1.54,3.91,2.82
April,,,,,3.71,2.61,3.28,4.91,3.66,2.65,5.15,2.9,3.3,3.75,2.53,3.96,3.88,3.62,3.22,4.53,2.35,2.57,1.74,2.29,3.36,4.29,2.73,4.55,5.36,5.62,3.95,4.57,2.89,2.47,7.19,4.5,1.72,3.81,2.17,5.35,6.42,5.49,3.55,5.98,4.65,4.77,5.14,2.52,1.1,3.75,2.65,2.13,4.21,3.92,3.72,8.76,2.61,4.92,2.99,1.26,2.34,2.58,6.16,4.08,4.73,4.68,2.22,3.62,1.02,4,3.7,3.01,3.41,4.92,4.02,2.64,2.73,9.42,4.3,8.16,4.09,3.96,3.46,3.08,3.32,3.81,1.53,2.46,2.09,3.34,6.74
May,,,,,2.47,4.02,0.98,3.96,5.32,3,2.03,4,3.41,3.79,5.85,3.97,4.37,1.68,7.08,4.55,3.82,3.08,5.99,3.27,4.09,0.3,0.91,3.65,2.47,4.92,4.62,2.24,2.96,4.14,3.41,2.22,7,7.47,3.19,4.1,4.11,3.95,2.86,4.75,2.04,1.59,6.06,4.78,4.09,1.46,7.59,4.47,5.72,3.54,4.89,8.58,3.86,4.35,2.25,4.67,2.51,5.92,3.27,4.21,4.31,0.78,2.77,2.34,3.7,1.79,1.1,2.29,4.26,3.87,5.11,6.08,1.74,5.57,2.19,3.24,1.99,2.63,2.35,3.27,4.19,3.92,3.64,1.99,4.02,1.5,2.9
June,,,,,1.73,3.5,5.28,4.33,4.03,6.46,2.81,7,5.5,4.34,1.53,2.01,1.95,1.76,3.6,1.8,6.65,1.72,5.03,2,3.13,2.3,5.17,8.06,3.81,2.72,4.77,3.72,2.06,3.14,3.67,1.8,1.77,5.51,3.29,4.18,2.67,5.16,6.72,5.04,1.18,2.15,3.09,4.22,2.13,5.26,2.79,0.75,3.07,1.89,3.2,1.66,4.4,4.77,6.82,3.5,3.49,8.68,2.59,3.47,3.55,4.61,1.93,3.02,7.49,2.25,1.53,1.35,3.12,4.4,5.39,4.57,3.97,3.69,6.71,1.49,2.39,2.36,4.26,1.4,5,3.48,3.22,2.35,3.7,3.95,3.28
July,,,,,3.84,2.49,4.06,5.1,1.15,5.34,3.85,6.1,8.62,3.93,8.42,3.46,4.1,4.91,6.95,3.28,5.17,1.86,2.87,4.75,3.36,5.81,5.98,3.39,1.88,4.65,3.87,3.02,4.47,5.63,2.87,3.94,3.57,3,4.98,4.59,5.45,4.24,3.85,1.7,2.39,3.9,3.69,3.35,5.26,1.92,5.04,5.35,3.57,5.97,3.84,2.6,3.62,4.58,4.55,6.61,3.55,5.47,5.01,5,2.99,3.07,7.28,4.31,5.05,5.96,3.94,3.82,4.46,2.82,5.75,4.97,3.61,5.49,6.57,2.65,6.47,4.03,3.74,6.09,3.67,1.25,5.26,6.29,7.64,6.59,4.95
August,,,,,6.48,5.27,7.29,10.29,4,6.64,2.44,5.5,3.95,6.68,3.8,4.96,3.82,4.34,5.24,7.41,4.09,8.06,9.97,4.94,5.33,7.84,3.19,7.03,7.7,2.12,6.14,6.1,3.51,12.19,6.11,6.61,5.78,7.74,5.38,3.79,14.26,6.07,6.69,2.08,5.26,3.68,4.82,4.85,6.09,3.95,7.12,6.5,4.59,7.29,4.58,5.71,6.34,6.5,5.44,7.1,6.94,2.04,3.6,3.92,6.4,2.71,2.72,3.92,3.87,2.22,3.17,5.79,6.53,9.13,4.01,2.35,2.9,0.01,8.61,5.33,7.61,5.29,6.5,5.91,5.47,1.59,6.11,6.12,5.91,1.08,4.56
September,,,,,9.03,5.86,3.77,2.74,7.48,10.77,4.22,3.7,5.3,4.2,6.05,11.27,8.36,6.83,2.78,2.81,8.28,8.01,9.8,4.93,0.34,2.91,6.52,5.6,6.91,6.18,5.8,5.1,5.4,5.59,6.45,3.84,2.73,2.1,9.04,3.36,2.97,3.65,3.79,3.64,3.13,2.44,1.89,4.51,7.7,5.87,3.73,3.54,4.57,11.63,7.71,4.25,4.76,9.72,5.07,2.17,4.99,2.31,6.27,1.03,8.64,9.21,5.16,4.63,6.41,2.89,5.22,2.45,7.22,5.38,6.56,6.82,8.9,6.24,8.35,2.79,11.99,5.63,5.33,8.67,8.48,5.42,5.29,4.38,6.5,1.53,3.48
October,,,,,12.5,8.99,8.78,10.95,9.8,4.04,0.98,3.4,6.1,8.17,8.71,5.71,5.67,4.55,3.8,5.42,5.94,8.12,4.96,9.19,4.81,5.34,5.51,4.9,4.52,5.82,9.78,5.89,3.76,12.22,3.83,4.71,8.41,7.55,2.4,10.28,5.33,5.6,8.5,4.36,3.14,4.28,9.78,12.19,9.62,1.15,3.45,6.39,3.59,10.64,4.49,6.62,8.64,7.4,11.97,9.24,11.19,6.06,8.57,3.9,11.13,13.49,6.87,3.36,14.01,4.2,8.78,7.99,8.83,12.33,8.11,7.83,0.56,3.44,9.77,8.32,7.04,1.8,7.82,4.88,12.17,5.31,3.27,6.17,6.62,6.81,3.31
