BURLEY-SANDYS-(SANDY-SHOOT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU206033,Long,-1.70854,Lat,50.82905,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,5.66,2.62,6.21,1.42,4.47,2.48,2.61,2.2,2.52,0.89,5.95,5.86,3.79,5.38,2.89,4.02,4.5,6.69,2.37,1.86,3.62,,,,
February,,,,,,,2.19,3.8,2.53,1.11,0.87,2.31,0.14,3.77,0.1,3.64,3.27,6.31,0.7,1.6,3.4,3.37,0.28,1.04,0.56,2.24,3.03,,,,
March,,,,,,,0.63,3.52,3.03,0.21,1.34,1.11,1.55,3.13,3.09,1.07,3.09,3.56,0.34,1.13,3.03,4.12,3.3,0.97,0.27,1.1,1.96,,,,
April,,,,,,,3.26,2.13,2.23,1.18,2.99,2.85,3.26,1.51,2.5,3.79,1.94,2.64,0.02,2.09,1.09,2.57,1.91,0.93,1.96,0.97,,,,,
May,,,,,,,3,0.76,1.56,2.59,2.46,2.93,3.92,2.33,0.85,0.99,0.56,4.13,1.82,1.49,0.85,1.64,3.67,3.84,0.71,2.35,,,,,
June,,,,,,,3.89,2.44,2.93,1.43,0.57,2.81,2.26,1.25,1.32,4.5,3.07,0.96,0.52,2.25,0.23,1.56,0.36,1.55,2.41,2.96,,,,,
July,,,,,,,1.25,2.82,1.65,1.57,1.8,3.98,3.72,2.25,0.58,0.75,4.91,1.97,2.93,5.31,3.28,2.86,1.74,2.82,2.97,1.49,,,,,
August,,,,,,,0.84,4.35,2.33,1.63,4.28,5.03,0.82,1.46,4.86,3.44,0.26,1.34,2.33,2.73,0,4.38,4.22,1.79,3.61,2.76,,,,,
September,,,,,,,1.06,5.91,1.75,0.39,3.5,1.91,3.76,3.47,2.43,3.48,3.56,3.19,1.12,2,1.7,0.94,2.93,2.73,1.82,2.61,,,,,
October,,,,,,,3.13,2.57,7.54,4.68,2.33,0.74,5.64,1.87,1.93,6.66,1.55,4.25,3.87,5.81,4.37,0.89,4.63,4.13,4.58,3.82,,,,,
November,,,,,,,10.11,4.03,3.21,9.6,6.66,4.38,2.07,0.86,2.88,7.93,3.72,2.23,5.54,6.09,8.25,2.65,1.55,1.84,6.27,0.54,,,,,
December,,,,,,,0.58,4.59,2.61,6.45,4.46,0.92,1.29,1.19,9.89,4.77,4.69,4.54,4.08,2.11,2.59,2.16,4.08,2.78,2.65,5.46,,,,,
Total,,,,,,,35.6,39.54,37.58,32.26,35.73,31.45,31.04,25.29,32.95,41.91,36.57,40.98,27.06,37.99,31.68,31.16,33.17,31.11,30.18,28.16,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge from East Grinstead Sussex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Aug Gauge moved 10ft S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Apr 1 Gauge moved 0.5 miles N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
