"MAESTAG (SALISBURY ROAD)",,,,,,,,,,,,
Grid ref,SS849910,Long,-3.663457,Lat,51.606035,,,,,,,
Station no,4068/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.42,7.23,2.49,5.74,3.33,9.00,8.06,6.95,7.84,,,
February,6.27,1.34,5.61,8.15,3.15,0.76,7.28,8.69,0.76,,,
March,7.43,7.21,3.56,5.71,2.27,3.49,11.28,1.51,7.00,,,
April,5.47,5.66,4.06,2.53,6.01,2.04,1.45,1.37,5.80,,,
May,2.65,4.27,4.54,3.95,7.42,2.64,3.58,6.45,1.45,,,
June,2.13,3.58,3.21,7.58,9.64,3.80,1.38,7.05,4.04,,,
July,2.33,2.78,9.25,9.57,1.05,5.63,7.46,8.11,6.33,,,
August,12.50,9.41,8.54,8.32,1.47,12.04,7.73,8.63,2.36,,,
September,7.44,3.54,6.20,10.18,4.40,8.62,13.20,10.41,0.81,,,
October,1.42,5.76,4.93,14.51,4.57,3.16,9.19,10.34,8.97,,,
November,11.93,4.86,6.52,12.52,5.76,2.20,3.14,5.77,11.52,,,
December,6.77,6.16,2.00,6.92,10.91,7.73,5.23,8.19,14.65,,,
Total,75.76,61.80,60.91,95.68,59.98,61.11,78.98,83.47,71.53,,,
Calc annual,75.76,61.80,60.91,95.68,59.98,61.11,78.98,83.47,71.53,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
