SANDOWN-BELGRAVE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ595839,Long,-1.1593,Lat,50.6519,Elevation,105,ft,,,,,,,,,,,,
Station no,RR1543,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.14,1.65,5.05,0.8,3.1,2.01,3.14,3.68,,,,,
February,,,,,,,,1.96,2.23,4.61,3.5,4.21,1.66,4.27,2.62,,,,,
March,,,,,,,,1.85,1.41,0.86,0.75,3.08,1.1,0.86,2.49,,,,,
April,,,,,,,,2.36,2.71,4.37,2.24,0.96,4.02,1.41,1.16,,,,,
May,,,,,,,,2.12,2.6,2.04,0.15,1.67,1.53,2.49,1.12,,,,,
June,,,,,,,,0.97,1.08,3.84,3.2,2.32,3.04,1.78,1.36,,,,,
July,,,,,,,,2.61,2.3,3.94,3.25,1.73,2.65,2.73,1.83,,,,,
August,,,,,,,,3.22,4.73,5.63,1.16,5.84,2.3,0.63,1.41,,,,,
September,,,,,,,,2.09,2.34,3.74,5,2.49,2.65,4.91,3.54,,,,,
October,,,,,,,,3.64,3.99,1.48,7.74,1.84,8.11,3.32,1.2,,,,,
November,,,,,,,,8.46,3.75,0.82,4.72,4.68,4.27,6.17,0.72,,,,,
December,,,,,,,,2.24,1.8,0.88,5.15,4.17,3.33,1.36,5.37,,,,,
Total,,,,,,,,38.66,30.59,37.26,37.66,36.09,36.67,33.07,26.5,,,,,
,,,,,,,,,,,,,,,,,,,,
Belgrave House was in Beachfield Road,,,,,,,,,,,,,,,,,,,,
House found marked on an 1862 OS map,,,,,,,,,,,,,,,,,,,,
1883 A new gauge was started,,,,,,,,,,,,,,,,,,,,
