"SANDOWN BELGRAVE HOUSE LAKE HOUSE",,,,,,,,,,,,
Grid ref,SZ595840,Long,-1.159704,Lat,50.652651,,,,,,,
Station no,RR1543,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.23,1.26,,,,,,,,,,
February,6.34,1.80,,,,,,,,,,
March,1.33,2.95,,,,,,,,,,
April,1.67,2.85,,,,,,,,,,
May,1.51,0.35,,,,,,,,,,
June,3.52,2.93,,,,,,,,,,
July,1.10,2.90,,,,,,,,,,
August,2.82,1.30,,,,,,,,,,
September,1.31,3.15,,,,,,,,,,
October,2.86,3.47,,,,,,,,,,
November,4.09,0.68,,,,,,,,,,
December,4.83,4.34,,,,,,,,,,
Total,36.61,27.98,,,,,,,,,,
Calc annual,36.61,27.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
