SANDOWN-BELGRAVE-HOUSE-(NEW-GAUGE),,,,,,,,,,
Grid ref,SZ595839,Long,-1.1593,Lat,50.6519,Elevation,105,ft,,
Station no,RR1543,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,3.05,3.69,2.45,5.21,,,
February,,,,4.2,2.59,3.99,0.92,,,
March,,,,0.85,2.49,1.56,2.86,,,
April,,,,1.39,1.14,0.9,2.09,,,
May,,,,2.39,1.12,2.84,3.45,,,
June,,,,1.8,1.38,1.8,0.59,,,
July,,,,2.74,1.85,0.75,3.13,,,
August,,,,0.67,1.41,0.33,1.48,,,
September,,,,4.78,3.51,4.93,2.88,,,
October,,,,3.27,1.22,3.94,5.12,,,
November,,,,6.09,0.72,3.92,4.55,,,
December,,,,1.33,5.49,1.83,5.89,,,
Total,,,,32.56,26.61,29.24,38.17,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1887 Jan Gauge moved few hundred yards to Lake Hill due to growth of trees and shrubs,,,,,,,,,,
