WEST-GRINSTEAD-PARTRIDGE-GREEN (BULLRUSHES),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ188203,Long,-0.30942661,Lat,50.969876,Elevation,70,ft,,,,,,,,,,,,
Station no,495/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.64,5.41,2.7,3.09,3.08,6.2,2.35,1.73,3.18,3.07,5.6,1.34,
February,,,,,,,,0.94,1.77,2.87,3.71,0.44,1.85,0.74,2.09,2.66,,1.28,1.57,
March,,,,,,,,0.58,1.48,3.26,3.13,2.61,0.41,0.11,1.68,1.28,,1.08,1.07,
April,,,,,,,,0.03,2.74,1.4,1.46,1.52,1.37,1.97,0.97,1.84,2.21,1.85,1.44,
May,,,,,,,,2.23,1.25,1.23,2.07,3.1,3.46,1.06,1.96,2.76,1.72,2.43,1.56,
June,,,,,,,,0.73,1.12,0.38,1.83,0.17,0.78,1.96,2.37,3.36,2.75,2.47,0.74,
July,,,,,,,,1.31,2.74,2.74,2.33,1.82,1.54,2.46,4.44,2.07,1.77,1.73,0.39,
August,,,,,,,,1.98,2.67,0.1,3.88,2.55,1.53,2.13,1.94,5.36,0.62,5.07,2.28,
September,,,,,,,,2.61,1.21,1.54,0.27,2.05,1.35,2.42,2.01,3.95,1.48,2.37,1.51,
October,,,,,,,,4.11,5.35,3.5,0.95,4.11,3.18,4.13,3.78,0.67,0.54,1.93,,
November,,,,,,,,4.09,6.59,7.41,3.67,1.59,1.58,5.76,0.3,5.71,1.3,1.88,,
December,,,,,,,,3.98,1.84,2.13,2.21,3.09,2.49,2.65,4.75,3.82,2.37,4.2,1.65,
Total,,,,,,,,26.23,34.17,29.26,28.6,26.13,25.74,27.74,28.02,36.66,,31.89,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,
1949 Oct Nov estimated,,,,,,,,,,,,,,,,,,,,
