CHOBHAIR,,,,,,,,,,,,
Grid ref,NN626425,Long,-4.236919,Lat,56.554316,,,,,,,
Station no,5557/3/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,5.10,5.50,14.96,7.90,2.60,4.37,,
February,,,,,2.68,2.97,7.85,2.70,3.15,5.70,,
March,,,,,2.15,4.52,8.89,2.74,7.10,3.45,,
April,,,,,2.33,3.08,4.40,3.06,6.54,6.99,,
May,,,,,6.10,6.15,4.05,7.00,3.35,5.00,,
June,,,,,4.07,7.22,3.20,6.02,3.60,3.78,,
July,,,,,1.16,8.21,7.82,7.00,9.50,5.92,,
August,,,,,2.34,8.40,8.85,7.27,4.68,5.12,,
September,,,,,6.72,10.95,5.68,9.30,1.60,6.00,,
October,,,,,6.62,6.66,9.25,6.94,7.55,9.58,,
November,,,,,4.70,4.03,3.15,1.95,11.60,11.33,,
December,,,,,14.26,16.32,12.11,9.00,14.93,11.30,,
Total,,,,,58.23,84.01,90.21,70.88,76.20,78.54,,
Calc annual,0.00,0.00,0.00,0.00,58.23,84.01,90.21,70.88,76.20,78.54,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
