ST-ALBANS-TORRINGTON-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL146068,Long,-0.3413703,Lat,51.748186,Elevation,271,ft,,,,,,,,,,,,
Station no,RR7524,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,0.91,1.15,2.75,2.1,,,,,,,,
February,,,,,,,,,1.22,2.07,0.85,0.04,,,,,,,,
March,,,,,,,,,3.26,1.88,2.56,1.66,,,,,,,,
April,,,,,,,,,2,2.21,1.19,0.76,,,,,,,,
May,,,,,,,,,1.22,4.21,1.28,3.63,,,,,,,,
June,,,,,,,,,3.69,1.51,2.01,1.8,,,,,,,,
July,,,,,,,,,3.97,4.9,4.2,2.98,,,,,,,,
August,,,,,,,,,3.36,2.33,2.02,4.16,,,,,,,,
September,,,,,,,,,0.62,2.1,0.54,1.03,,,,,,,,
October,,,,,,,,,1.05,3.39,1.39,6.1,,,,,,,,
November,,,,,,,,,4.57,1.17,2.33,1.97,,,,,,,,
December,,,,,,,,,1.44,1.27,0.5,3.81,,,,,,,,
Total,,,,,,,,,27.31,28.19,21.62,30.04,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jar Gauge,,,,,,,,,,,,,,,,,,,,
Some duplicate values exist between the two gauges at this location,,,,,,,,,,,,,,,,,,,,
