"KETTINS [COUPAR ANGUS]",,,,,,,,,,,,
Grid ref,NO238389,Long,-3.240589,Lat,56.535909,,,,,,,
Station no,RR1374,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,1.93,,
February,,,,,,,,,,0.70,,
March,,,,,,,,,,3.57,,
April,,,,,,,,,,3.77,,
May,,,,,,,,,,3.22,,
June,,,,,,,,,,0.83,,
July,,,,,,,,,,2.93,,
August,,,,,,,,,,1.61,,
September,,,,,,,,,,1.92,,
October,,,,,,,,,,4.18,,
November,,,,,,,,,2.08,0.49,,
December,,,,,,,,,1.72,3.75,,
Total,,,,,,,,,,28.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,28.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
