KETTINS FORFAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 239 389,Long,-3.238744,Lat,56.53659,Elevation,218,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.21,2,1.51,4.23,3.41,1.23,5.25,2.59,2.72,3.66,3.48,3.73,4.44,6.65,1.6,2.74,4.28,4.54,,,,,,
February,,,,,,,4.28,0.73,1.2,2.41,1.54,2.8,1.81,0.83,2.84,2.39,2.57,1.47,3,1.77,2.14,4.92,6.86,0.92,,,,,,
March,,,,,,,0.29,4.62,1.2,2.43,2.31,2.7,2.3,1.45,1.78,1.12,3.57,2.89,3.31,0.89,0.6,1.25,2.31,1.89,,,,,,
April,,,,,,,3.4,3.03,1.55,2.18,0.45,0.74,1.71,1.56,1.01,0.69,1.9,3.23,2.99,1.56,0.45,3.89,0.92,0.21,,,,,,
May,,,,,,,2.62,2.12,2.42,0.26,1.21,1.61,4.48,1.59,1.68,2.2,1.02,3.71,2.39,0.92,2.13,0.95,4.37,3.21,,,,,,
June,,,,,,,3.72,2.85,1.77,3.76,6.77,2.28,4.21,2.85,1.96,0.53,1.65,1.53,1.31,2.93,1.87,2.4,5.08,1.51,,,,,,
July,,,,,,,2.48,2.47,6.74,3.6,3.12,4,2.45,0.32,2.24,5.2,3.53,7.62,0.69,1.46,2.9,4.2,2.77,4.86,,,,,,
August,,,,,,,4.6,2.22,3.1,1.2,3.48,4.76,3.39,5.25,0.71,4.03,3.33,2.35,6.14,1.37,1.61,2.62,4.08,2.87,,,,,,
September,,,,,,,6.98,4.51,2.85,3.56,0.75,4.73,1.72,2.74,3.82,0.52,4.25,2.15,5.5,5.49,3.15,2.25,5.17,3.2,,,,,,
October,,,,,,,1.38,2.61,3.12,2.18,2.16,2.01,3.32,3.9,4.36,5.07,2.66,3.45,2.65,3.68,4.82,4.31,4.62,3.32,,,,,,
November,,,,,,,1.91,2.69,2.18,3.07,5.12,3.74,1.16,1.45,4.18,3.52,1.79,0.33,2.11,1.18,2.25,1.94,5.79,1.28,,,,,,
December,,,,,,,3.3,1.45,3.45,2.63,6.07,1.69,2.69,1.79,4.38,1.89,3.57,1.19,7.5,2.83,3.59,2.15,6.49,2.3,,,,,,
Total,,,,,,,38.17,31.3,31.09,31.51,36.39,32.29,34.49,26.32,31.68,30.82,33.32,33.65,42.03,30.73,27.11,33.62,52.74,30.11,,,,,,
