ROYAL SOCIETY (Somerset House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ307808,Long,-0.1173,Lat,51.5111,Elevation,35,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,0.69,1.35,,,,,,0.36,0.44,1.35,,,,,,,,,,,2.46,1.23,0.15,1.54,1.67,1.51,1.84,0.49,1.06,3.23,,,0.78,0.34,1.12,0.43,0.73,2.15,1.46,0.79,0.44,1.85,0.22,0.61,0.52,0.47,0.12,3.16,,0.29,1.92,0.54,0.67,0.27,0.34,0.18,1.6,2.31,0.07,1.43,2.63,2.22,0.57,1.01,,,,,,
February,0.85,1.68,,,,,,1.04,1.46,1.61,,,,,,,,,,,0.26,0.54,1.5,0.74,1.34,1.05,0.54,1.11,0.71,1.6,,,1.7,1.79,0.53,0.68,1.62,0.88,0.73,1.64,1.43,0.28,0.56,1.98,1.48,0.39,0.83,0.9,,0.74,1.01,1.44,0.07,1.24,0,0.41,2.05,1.58,1.68,1.34,1.22,0.79,1.35,2.13,,,,,,
March,1.19,0.29,,,,,,1.28,0.34,1.55,,,,,,,,,,,0.31,1.11,0.4,0.45,1.54,0.88,1.33,0.19,0.17,0.74,,,1.87,0.56,0.72,1.32,0.43,1.06,0.99,1.01,1.32,1.92,1.27,0.94,0.86,0.6,3.54,0.75,,0.59,0.19,0.88,0.3,0.59,0.31,0.14,2.43,0.43,0.93,1.55,0.22,1.05,1.78,0.29,,,,,,
April,2.74,0.65,,,,,,0.92,0.61,0.96,,,,,,,,,,,2.88,0.38,0.99,1.09,1.6,1.58,0.24,0.45,1.65,2.97,,,1.06,1.1,1.3,1.66,1.02,0.12,1.79,1.69,1.51,1.14,1.62,1.04,1.18,1.14,,2.02,,2.29,2.02,1.07,0.34,1.54,0.03,1.07,2.49,0.9,0.66,1.38,0.25,1.75,0.47,1.99,,,,,,
May,0.82,0.62,,,,,,1.14,0.5,1.1,,,,,,,,,,,1.09,1.51,1.2,1.69,1.25,0.85,1.02,2.87,1.12,0.81,,,1.93,2.63,1.78,0.67,0.9,1.7,1.6,1.4,1.39,1.09,1.02,0.54,2.39,2.07,,1.31,,0.31,2.1,1.06,1.17,0.38,0.43,2.48,0.81,1.67,0.57,1.27,3.23,1.99,1.93,4.31,,,,,,
June,0.85,0.69,,,,,,0.66,3.27,3.24,,,,,,,,,,,1,0.79,1.86,3.36,0.52,3.31,0.5,1.35,0.64,1.11,,,1.76,1.35,1.56,1.75,0.93,1.86,0.41,1.02,2.33,1.83,1.21,0.98,2.18,0.69,,2.37,,1.4,2.09,1.05,2.84,1.91,0.93,2.2,0.9,0.89,4.37,1.52,1.76,2.31,0.63,1.23,,,,,,
July,1.6,1.04,,,,,,3.25,1.62,2.47,,,,,,,,,,,0,3.52,2.81,1.37,3.71,2.17,4.89,0.34,2.46,2.76,,,1.95,2.09,0.68,1.58,2.79,1.41,0.36,0.75,2.81,2.24,2.79,1.15,1.03,0.05,2.36,0.15,,2.91,1.31,2.82,0.97,1.68,3.36,0.51,1.89,1.43,2.26,1.58,1.82,2.52,1.85,,,,,,,
August,0.49,2.2,,,,,,1.17,2.7,1.86,,,,,,,,,,,1.47,1.57,0.52,0.76,2.8,3.54,2.09,1.76,1.21,1.43,,,1.48,0.56,2,0.22,1.18,1.46,0.28,0.25,1.32,2.1,0.98,1.05,2.09,1.26,0.55,0.51,,2.84,2.69,1.7,2.03,0.57,1.69,0.32,0.99,3.6,1.05,1.97,1.27,2.17,3.8,,,,,,,
September,2.9,,,,,,,0.99,3.34,2.16,,,,,,,,,,,2.71,1.26,0.67,0.92,0,1.53,1.92,1.94,3.78,2.5,,,0.63,0.86,0.96,0.78,0.82,0.3,0.97,1.32,2.06,1.81,0.7,0.8,2.37,1.86,0.42,0.83,,2.71,2.37,2.81,0.35,0.48,0.58,3.75,2.77,0.9,2.25,2.98,1.85,3.71,3.54,,,,,,,
October,2.36,,,,,,,1.82,0.1,3.25,,,,,,,,,,,1.28,1.47,1.64,0.47,2.05,1.38,0.79,0.77,3.2,0.14,,,3.14,3.39,1.61,1.89,0.89,0.55,1.17,1.07,1.58,1.93,3.05,2.51,1.46,2,1.87,2.27,,1.55,0.88,2.1,2.03,0.18,0.19,3.82,3.06,1.82,1.36,1.96,1.47,4.14,1.29,,,,,,,
