WROUGHTON-PRIORS-HILL,,,,,,,,,,
Grid ref,SU147800,Long,-1.789535,Lat,51.518732,Elevation,510,ft,,
Station no,1535/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.8,2.02,2.69,4.49,2.32,3.3,5.31,
February,,,1.58,2.56,1.7,0.23,3.59,3.62,0.25,
March,,,0.55,2.89,1.63,0.62,2.48,1.38,3.05,
April,,,2.48,0.55,0.72,1.68,0.3,1.21,2.86,
May,,,1.9,2.21,5.11,0.45,1.8,3.2,1.17,
June,,,1.96,5.6,2.58,2.07,2.18,2.92,1.67,
July,,,2.7,2.31,0.96,2.63,3.54,2.76,1.37,
August,,,3.33,3.62,0.72,4.45,3.22,3.23,2.3,
September,,,3.73,3.49,0.74,3.78,3.48,3.81,0.24,
October,,,3.96,3.02,1.99,1.74,2.47,3.36,2.2,
November,,3.99,1.51,6.82,2.48,0.88,2.7,2.71,3.4,
December,,2.01,0.93,2.7,3.4,4.46,3.31,3.32,7.28,
Total,,,25.43,37.79,24.72,27.48,31.39,34.82,31.1,
