"UPPER FARG (PLAINS)",,,,,,,,,,,,
Grid ref,NO099100,Long,-3.456571,Lat,56.273892,,,,,,,
Station no,5535,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.27,3.15,1.00,2.75,2.20,,,,,,,
February,3.50,0.57,1.40,3.50,2.60,,,,,,,
March,2.80,3.48,1.28,3.40,2.50,,,,,,,
April,3.33,2.17,2.60,1.84,1.03,,,,,,,
May,2.59,1.92,2.78,6.38,3.40,,,,,,,
June,2.42,2.60,1.86,3.38,1.68,,,,,,,
July,4.38,2.45,4.63,1.99,,,,,,,,
August,5.94,4.52,2.75,4.27,,,,,,,,
September,2.70,2.46,3.42,3.87,,,,,,,,
October,0.71,3.14,1.68,7.55,,,,,,,,
November,7.68,2.25,4.83,7.15,,,,,,,,
December,4.59,2.75,4.56,4.36,,,,,,,,
Total,43.91,31.46,32.79,50.44,,,,,,,,
Calc annual,43.91,31.46,32.79,50.44,13.41,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
