"BALLATER (IRRIGATION FARM)",,,,,,,,,,,,
Grid ref,NO376964,Long,-3.030321,Lat,57.054416,,,,,,,
Station no,5632,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,2.42,,,,,,,,,,
February,5.85,,,,,,,,,,,
March,2.84,,,,,,,,,,,
April,3.05,,,,,,,,,,,
May,1.39,,,,,,,,,,,
June,0.95,,,,,,,,,,,
July,3.90,,,,,,,,,,,
August,4.10,,,,,,,,,,,
September,1.20,,,,,,,,,,,
October,1.34,,,,,,,,,,,
November,9.22,,,,,,,,,,,
December,2.60,,,,,,,,,,,
Total,39.43,,,,,,,,,,,
Calc annual,39.43,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
