BALLATER (IRRIGATION FARM),,,,,,,,,,
Grid ref,NO381966,Long,-3.022129,Lat,57.05628,Elevation,633,ft,,
Station no,5632,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.64,2.82,1.86,2.15,2.1,4.94,3.32,2.65,2.92,4.22
February,5.6,1.82,1.85,3.86,5.11,2.57,3.06,5.06,0.29,3.88
March,2.77,2.45,0.32,4.08,1.66,2.27,2.05,5.74,1.52,1.71
April,2.89,1.22,3.08,1.09,0.41,2.06,1.17,2.33,2.38,1.65
May,1.3,2.23,1.83,5.43,3.37,0.49,2.07,3.24,1.09,0.93
June,0.75,2.36,3.53,1.52,0.49,2.53,2.29,2.99,2.46,0.82
July,3.97,2.08,4.33,2.11,0.99,4.84,7.86,6.56,2.87,2.08
August,4.04,6.45,1.37,2.82,0.39,4.65,4.91,3.47,1.79,6.87
September,1.25,1.54,2.93,1.52,2.01,4.7,2.42,2.05,0.94,3.06
October,1.27,4.47,1.73,5.31,3.34,2.94,0.96,2.01,5.47,10.73
November,9.8,3.29,1.91,5.94,1.98,1.49,2.29,0.58,6.83,4.45
December,2.9,4.08,2.67,5.33,6.59,6.01,5.17,6.35,6.72,2.55
Total,39.18,34.81,27.41,41.16,28.44,39.49,37.57,43.03,35.28,42.95
