MARLBOROUGH-KINGSBURY-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SU188693,Long,-1.7310122,Lat,51.422403,Elevation,500,ft,,,,,,,,,,,,
Station no,RR7104,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.9,3.65,3.55,1.06,3.9,4.16,3.34,4.43,3.5,1.69,,5.92,4.45,3,,2.43,,,
February,,2.6,0.52,0.69,1.64,2.11,3.8,2.44,2.15,2.59,1.92,,2.17,1.2,2.1,,2.84,,,
March,,3.41,4.31,0.77,3.22,1.16,2.26,3.26,1.75,1.68,2.09,,2.2,2.38,0.7,,3.75,,,
April,,0.31,2.75,1.38,1.89,1.22,2.21,2.6,2.5,1.41,0.52,3.5,1.83,1.05,1.61,,3.24,,,
May,,1.63,3.75,1.77,1.64,2.47,1.84,2.26,1.38,4.17,1.15,1.13,2.07,1.74,0.54,,1.1,,,
June,,3.58,2.97,4.06,1.48,2.1,3.01,1.55,0.46,1.31,0.34,2.76,3.23,1.45,1.01,,2.02,,,
July,,4.38,2.01,1,0.62,2.49,1.46,3.86,1.01,0.56,1.72,4.04,2.44,1.6,1.19,,0.88,,,
August,,0.84,1.7,3.73,0.45,3.75,2.85,2.26,4.88,1.79,1.64,1.22,2.27,2.38,2.35,,3.94,,,
September,,3.21,1.61,3.47,2.24,0.19,7.31,2.14,5.27,5.27,1.05,5.96,0.91,2.62,3.95,,6.72,,,
October,,1.78,4.94,4.42,1.96,7.32,1.7,3.1,2.66,1.93,4.4,1.65,5.28,2.14,4.4,,1.61,,,
November,,4.45,1.04,2.32,3.16,3.75,2.25,1.35,1.58,2.55,1.9,0.63,4.79,2.88,2.77,,3.92,,,
December,,1.81,1.97,1.68,1.93,2.34,3,1.5,5.51,3.67,2.35,2.25,4.8,0.42,2.35,,6.62,,,
Total,,28.9,31.22,28.84,21.29,32.8,35.85,29.66,33.58,30.43,20.77,,37.91,24.31,25.97,,39.07,,,
