HANHAM (CONHAM S.W.),,,,,,,,,,,,
Grid ref,ST628720,Long,-2.536666,Lat,51.445759,,,,,,,
Station no,2184/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.11,0.84,2.04,2.84,4.52,2.55,3.07,4.00,3.72,,
February,,0.90,1.51,3.40,1.48,0.27,3.08,4.21,0.33,2.51,,
March,,2.75,0.92,3.83,1.22,0.81,2.53,1.28,3.53,1.97,,
April,,1.87,2.90,0.72,0.97,1.75,0.10,1.23,2.96,1.70,,
May,,4.32,1.90,2.04,4.34,0.50,1.54,3.32,1.41,0.88,,
June,,2.63,1.53,4.61,2.49,2.52,1.71,4.54,5.10,1.92,,
July,,0.81,3.68,3.68,0.09,2.29,3.67,2.55,2.28,4.62,,
August,,4.00,5.01,3.10,0.53,5.31,2.83,2.87,2.63,5.96,,
September,,3.35,3.31,5.59,1.38,3.09,4.23,5.16,0.15,4.59,,
October,,4.71,2.16,3.39,1.29,1.60,3.38,2.60,3.43,6.77,,
November,,3.99,1.85,6.68,3.42,0.71,2.12,2.54,4.20,5.02,,
December,,2.07,0.91,2.46,3.64,4.49,2.65,4.01,7.03,5.32,,
Total,,34.51,26.52,41.54,23.69,27.86,30.39,37.38,37.05,44.98,,
Calc annual,0.00,34.51,26.52,41.54,23.69,27.86,30.39,37.38,37.05,44.98,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
