HALSTEAD-FENN-ROAD,,,,,,,,,,
Grid ref,TL823304,Long,0.650805,Lat,51.94223,Elevation,168,ft,,
Station no,1323/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,1.35,1.93,1.59,1.76
February,,,,,,,2.21,2.62,0.15,1.37
March,,,,,,,1.2,0.68,1.59,1.47
April,,,,,,,0.13,0.87,2.06,0.36
May,,,,,,,1.13,2.04,0.45,1.21
June,,,,,,,1.44,4.77,1.4,1.2
July,,,,,,,2.98,3.15,2.6,3.45
August,,,,,,,1.86,3.59,0.45,2.25
September,,,,,,,2.67,3.53,0,2.86
October,,,,,,,1.94,1.91,1.58,6.05
November,,,,,,,2.38,1.32,2.25,2.93
December,,,,,,,1.76,2.65,3.43,2.59
Total,,,,,,,21.05,29.06,17.55,27.5
